Date,Department,Partition,Jobs_Submitted,Jobs_Completed,Jobs_Failed,GPU_Hours,CPU_Hours,Memory_GB_Hours,Storage_Read_GB,Storage_Write_GB,Avg_Wait_Min,Max_Wait_Min,Avg_GPU_Util_PCT,Energy_kWh
2025-03-16,Physics,interactive,6,5,0,222,937,64706,4987,536,83,172,62.0,1221.0
2025-03-18,Physics,interactive,17,15,0,462,891,221014,1140,1724,113,241,68.5,2541.0
2025-03-20,Physics,debug,47,41,2,89,375,46883,1815,156,56,76,80.4,489.5
2025-03-22,Physics,debug,46,44,1,483,617,73457,1452,171,63,15,66.2,2656.5
2025-03-24,Physics,cpu,31,28,1,489,557,119645,1796,2226,19,145,93.5,2689.5
2025-03-26,Physics,cpu,48,44,2,428,860,84484,1260,736,115,23,81.9,2354.0
2025-03-28,Physics,gpu,35,32,1,86,170,8853,2741,2038,103,297,82.0,473.0
2025-03-28,Physics,gpu,32,31,0,191,451,100144,4969,1178,19,346,30.7,1050.5
2025-04-01,Physics,priority,31,29,1,403,601,169472,2651,730,22,168,44.6,2216.5
2025-04-03,Physics,priority,32,29,1,333,90,104934,3174,292,114,293,32.3,1831.5
2025-04-05,Physics,interactive,29,26,1,237,359,71481,3773,1362,55,470,66.2,1303.5
2025-04-07,Physics,interactive,38,32,1,380,883,201910,787,2109,106,272,87.2,2090.0
2025-04-09,Physics,debug,25,21,1,213,169,126913,694,2068,22,401,53.3,1171.5
2025-04-11,Physics,debug,25,22,0,174,874,60214,4616,698,21,31,72.3,957.0
2025-04-13,Physics,cpu,38,36,1,168,326,82233,284,774,117,268,54.7,924.0
2025-04-15,Physics,cpu,5,4,0,261,863,126100,4684,1290,23,326,59.5,1435.5
2025-04-17,Physics,gpu,13,12,0,325,792,178008,2536,1724,28,201,69.0,1787.5
2025-04-19,Physics,gpu,22,20,0,250,30,47479,1602,2140,87,132,88.8,1375.0
2025-04-20,Physics,priority,16,14,0,456,92,64562,1660,1434,118,317,35.1,2508.0
2025-04-22,Physics,interactive,16,14,0,313,671,170135,1303,368,9,423,67.2,1721.5
2025-04-24,Physics,interactive,28,24,1,376,749,185559,3641,1311,38,446,76.3,2068.0
2025-04-26,Physics,debug,43,41,2,439,200,229756,4034,1026,46,438,57.2,2414.5
2025-04-28,Physics,debug,20,18,0,387,123,227000,3354,237,44,374,63.0,2128.5
2025-04-28,Physics,cpu,39,37,0,375,445,148995,2240,1150,30,160,37.3,2062.5
2025-05-02,Physics,cpu,29,25,1,221,258,110300,3107,1965,67,383,79.9,1215.5
2025-05-04,Physics,gpu,42,35,1,289,338,40065,1732,459,13,170,92.6,1589.5
2025-05-06,Physics,gpu,40,35,2,416,203,105035,3657,2278,106,116,71.6,2288.0
2025-05-07,Physics,priority,36,32,2,276,600,105707,4602,1481,81,322,75.4,1518.0
2025-05-09,Physics,priority,14,12,1,132,285,55203,3474,2463,95,293,45.9,726.0
2025-05-11,Physics,interactive,30,27,1,250,179,60930,2275,2096,2,101,77.5,1375.0
2025-05-13,Physics,interactive,10,9,0,390,133,41958,860,1589,24,388,55.7,2145.0
2025-05-15,Physics,debug,16,14,1,484,300,168257,2416,196,34,51,85.5,2662.0
2025-05-17,Physics,debug,44,38,3,484,422,53514,3173,2447,47,422,62.0,2662.0
2025-05-19,Physics,cpu,11,9,0,456,772,119988,1397,1365,38,199,83.0,2508.0
2025-05-21,Physics,cpu,26,24,1,361,819,158045,4642,1071,52,419,61.1,1985.5
2025-05-23,Physics,gpu,18,17,1,420,312,154214,1063,44,51,287,84.9,2310.0
2025-05-25,Physics,gpu,35,34,2,137,173,24415,509,514,6,378,45.6,753.5
2025-05-26,Physics,priority,7,6,0,114,50,60234,190,2425,80,284,34.1,627.0
2025-05-28,Physics,interactive,49,47,3,446,532,226253,2749,158,100,102,91.3,2453.0
2025-05-28,Physics,interactive,12,10,0,0,312,0,3640,423,12,447,67.3,0.0
2025-06-02,Physics,debug,41,36,3,294,165,80007,177,1094,63,351,77.4,1617.0
2025-06-04,Physics,debug,29,27,2,84,49,33440,1040,1488,24,130,78.8,462.0
2025-06-06,Physics,cpu,33,29,1,477,327,225756,1825,126,69,141,40.2,2623.5
2025-06-08,Physics,cpu,47,40,1,316,770,59145,556,436,45,471,68.4,1738.0
2025-06-10,Physics,gpu,11,10,0,36,918,14941,2803,322,118,272,41.2,198.0
2025-06-12,Physics,gpu,12,10,0,101,440,50535,2664,730,102,387,83.9,555.5
2025-06-13,Physics,priority,2,1,0,113,89,45999,2427,1711,3,344,90.2,621.5
2025-06-15,Physics,priority,26,25,0,144,843,69111,1043,976,17,26,30.1,792.0
2025-06-17,Physics,interactive,11,9,0,354,333,127424,2285,1486,24,327,35.2,1947.0
2025-06-19,Physics,interactive,28,24,0,478,268,213550,2507,1090,41,190,37.7,2629.0
2025-06-21,Physics,debug,21,18,0,116,134,37646,359,2416,89,15,33.6,638.0
2025-06-23,Physics,debug,36,34,2,279,725,124123,2948,586,116,222,85.0,1534.5
2025-06-25,Physics,cpu,40,34,2,105,371,47759,1793,2397,19,121,90.0,577.5
2025-06-27,Physics,cpu,12,10,0,59,888,12022,4005,116,37,11,68.5,324.5
2025-06-28,Physics,gpu,5,4,0,107,263,20313,4187,1941,13,356,45.3,588.5
2025-06-28,Physics,priority,45,39,2,289,641,32449,2955,1571,42,271,86.2,1589.5
2025-07-02,Physics,priority,38,33,2,259,402,151475,1048,520,110,67,68.0,1424.5
2025-07-04,Physics,interactive,17,15,1,309,218,131648,505,1511,65,407,71.7,1699.5
2025-07-06,Physics,interactive,43,41,3,345,808,149341,4314,222,71,444,60.7,1897.5
2025-07-08,Physics,debug,18,16,0,91,144,42182,3594,84,12,260,50.7,500.5
2025-07-10,Physics,debug,42,37,0,441,443,165361,4535,2295,70,45,83.8,2425.5
2025-07-12,Physics,cpu,30,28,1,381,613,126630,2654,2436,72,423,61.1,2095.5
2025-07-14,Physics,cpu,46,42,0,249,866,144095,1434,1475,65,20,34.9,1369.5
2025-07-16,Physics,gpu,31,26,0,453,609,90654,2555,12,107,357,89.4,2491.5
2025-07-18,Physics,gpu,36,35,1,269,112,82489,941,1493,9,61,52.6,1479.5
2025-07-19,Physics,priority,44,40,1,392,57,199546,439,1750,94,274,67.4,2156.0
2025-07-21,Physics,priority,34,31,1,265,587,103321,2957,41,21,44,91.6,1457.5
2025-07-23,Physics,interactive,24,21,1,151,127,40536,3127,1295,51,29,51.1,830.5
2025-07-25,Physics,interactive,34,31,0,151,975,64041,4291,1138,12,94,36.7,830.5
2025-07-27,Physics,debug,22,20,0,303,693,155781,2210,622,57,339,64.9,1666.5
2025-07-28,Physics,debug,8,6,0,78,799,10618,2517,1209,11,358,80.9,429.0
2025-08-01,Physics,cpu,20,18,1,85,589,26551,3301,645,87,317,51.0,467.5
2025-08-03,Physics,cpu,35,33,0,67,229,25260,698,1127,99,35,36.2,368.5
2025-08-05,Physics,gpu,44,41,0,1,251,104,525,2320,47,260,74.7,5.5
2025-08-07,Physics,gpu,8,7,0,411,897,43759,1085,2084,109,80,81.0,2260.5
2025-08-08,Physics,priority,38,34,2,248,59,130737,140,782,56,206,82.5,1364.0
2025-08-10,Physics,interactive,18,16,1,393,53,48607,2060,118,82,95,51.0,2161.5
2025-08-12,Physics,interactive,7,6,0,139,974,16145,1590,1562,79,162,74.6,764.5
2025-08-14,Physics,debug,42,36,1,419,69,152487,3596,11,14,404,44.0,2304.5
2025-08-16,Physics,debug,42,36,2,409,16,120959,2875,1264,83,254,90.7,2249.5
2025-08-18,Physics,cpu,9,8,0,39,569,18579,4934,1125,64,404,81.2,214.5
2025-08-20,Physics,cpu,31,28,1,124,535,33450,4756,440,15,367,66.0,682.0
2025-08-22,Physics,gpu,5,4,0,143,842,63891,4060,2121,59,135,85.5,786.5
2025-08-24,Physics,gpu,32,30,2,350,49,92146,3153,970,3,186,66.0,1925.0
2025-08-25,Physics,priority,37,31,2,72,117,8661,1796,2399,93,455,42.7,396.0
2025-08-27,Physics,priority,27,23,1,49,91,5230,3797,1774,51,450,42.4,269.5
2025-08-28,Physics,interactive,42,40,2,33,891,6104,956,343,108,265,50.3,181.5
2025-09-01,Physics,interactive,8,7,0,395,764,67755,264,1588,71,357,70.4,2172.5
2025-09-03,Physics,debug,40,35,1,252,18,95462,4284,2180,92,199,74.5,1386.0
2025-09-05,Physics,debug,38,37,2,97,928,18830,889,750,72,320,89.0,533.5
2025-09-07,Physics,cpu,35,31,1,318,888,65288,376,1819,45,249,87.9,1749.0
2025-09-09,Physics,cpu,6,5,0,294,223,164655,4619,2468,54,434,33.6,1617.0
2025-09-11,Physics,gpu,3,2,0,4,856,883,4666,470,114,317,90.0,22.0
2025-09-13,Physics,gpu,20,17,0,376,404,48254,240,1688,82,245,56.6,2068.0
2025-09-14,Physics,priority,30,25,1,139,32,14737,3317,1151,76,198,47.3,764.5
2025-09-16,Physics,interactive,37,34,0,278,541,36018,3238,975,7,380,31.2,1529.0
2025-09-18,Physics,interactive,32,28,1,53,821,7311,3157,44,81,23,62.9,291.5
2025-09-20,Physics,debug,8,7,0,286,695,120103,998,1537,56,126,56.8,1573.0
2025-09-22,Physics,debug,21,18,1,190,564,111487,1858,2027,31,24,30.9,1045.0
2025-09-24,Physics,cpu,32,28,2,414,685,52053,2908,537,12,416,61.6,2277.0
2025-09-26,Physics,cpu,11,10,0,474,633,67060,631,1598,84,389,60.3,2607.0
2025-09-28,Physics,gpu,4,3,0,354,640,43967,779,2025,3,318,45.6,1947.0
2025-09-28,Physics,gpu,4,3,0,335,578,68482,826,2190,32,265,38.6,1842.5
2025-10-01,Physics,priority,28,27,0,409,68,80633,2181,234,115,421,71.5,2249.5
2025-10-03,Physics,priority,40,36,3,373,939,180761,2596,1700,91,44,39.5,2051.5
2025-10-05,Physics,interactive,4,3,0,243,598,44336,1267,1674,15,77,47.8,1336.5
2025-10-07,Physics,interactive,48,46,3,360,341,102175,1692,118,68,161,78.1,1980.0
2025-10-09,Physics,debug,14,12,0,299,13,35968,1447,1256,28,386,58.7,1644.5
2025-10-11,Physics,debug,9,8,0,111,234,60496,1662,2210,43,182,36.4,610.5
2025-10-13,Physics,cpu,24,23,0,433,423,187202,18,1406,28,324,57.0,2381.5
2025-10-15,Physics,cpu,18,16,0,297,159,150695,4732,1531,53,51,60.3,1633.5
2025-10-17,Physics,gpu,10,9,0,413,733,245513,4026,1089,107,353,69.9,2271.5
2025-10-19,Physics,gpu,26,22,0,0,49,0,2028,437,22,50,30.0,0.0
2025-10-20,Physics,priority,22,21,1,62,349,19998,2543,1946,8,454,73.8,341.0
2025-10-22,Physics,interactive,44,38,1,257,471,45242,319,1310,13,403,47.8,1413.5
2025-10-24,Physics,interactive,34,29,2,140,280,30668,664,2440,29,372,47.9,770.0
2025-10-26,Physics,debug,7,6,0,378,759,217523,4964,724,8,395,36.7,2079.0
2025-10-28,Physics,debug,26,22,0,173,685,27851,3270,1535,21,360,92.8,951.5
2025-10-28,Physics,cpu,31,26,0,161,539,95709,4541,1388,2,123,83.0,885.5
2025-11-02,Physics,cpu,17,15,0,116,388,25113,2520,640,40,342,43.9,638.0
2025-11-04,Physics,gpu,31,30,0,226,519,77398,2121,716,91,379,37.5,1243.0
2025-11-06,Physics,gpu,17,15,0,214,618,121690,1710,1574,49,284,57.9,1177.0
2025-11-07,Physics,priority,19,17,0,410,979,240687,99,1056,100,159,73.6,2255.0
2025-11-09,Physics,priority,14,13,0,312,412,32337,1322,2081,16,26,50.9,1716.0
2025-11-11,Physics,interactive,5,4,0,322,941,100882,1517,363,111,17,79.0,1771.0
2025-11-13,Physics,interactive,29,28,0,128,851,49808,498,70,3,86,62.0,704.0
2025-11-15,Physics,debug,24,22,1,436,271,213971,2543,844,39,331,81.8,2398.0
2025-11-17,Physics,debug,28,25,1,164,660,41333,3774,528,7,456,73.3,902.0
2025-11-19,Physics,cpu,20,17,0,266,894,30920,2567,2465,9,19,35.2,1463.0
2025-11-21,Physics,cpu,4,3,0,330,430,72176,3706,1181,6,97,79.2,1815.0
2025-11-23,Physics,gpu,49,47,2,281,36,94077,149,1822,28,210,43.1,1545.5
2025-11-24,Physics,priority,2,1,0,62,964,32353,4765,420,34,80,60.6,341.0
2025-11-26,Physics,priority,37,34,0,136,364,65173,3180,1468,55,257,92.6,748.0
2025-11-28,Physics,interactive,19,17,1,229,593,25945,4025,1885,40,328,75.3,1259.5
2025-11-28,Physics,interactive,31,28,1,401,141,215239,3196,2247,63,410,88.4,2205.5
2025-12-02,Physics,debug,12,11,0,20,881,4093,888,1457,53,468,58.4,110.0
2025-12-04,Physics,debug,12,10,0,50,203,13126,3033,2431,89,336,31.0,275.0
2025-12-06,Physics,cpu,33,28,0,28,883,6744,3629,478,115,272,52.3,154.0
2025-12-08,Physics,cpu,24,22,1,484,199,234967,4163,268,1,156,35.8,2662.0
2025-12-10,Physics,gpu,41,36,1,289,230,83848,4116,1603,91,93,55.6,1589.5
2025-12-12,Physics,gpu,38,36,2,281,271,75254,3094,2113,51,243,58.1,1545.5
2025-12-13,Physics,priority,28,26,1,223,349,89345,3323,2083,55,363,86.8,1226.5
2025-12-15,Physics,priority,10,9,0,269,507,111496,1465,514,12,162,35.4,1479.5
2025-12-17,Physics,interactive,46,40,1,36,303,13272,3239,1976,84,333,59.5,198.0
2025-12-19,Physics,interactive,26,24,1,291,483,167243,78,327,84,113,69.0,1600.5
2025-12-21,Physics,debug,10,9,0,40,599,6137,4611,2029,119,455,31.9,220.0
2025-12-23,Physics,debug,19,16,0,241,933,104651,770,635,41,36,93.5,1325.5
2025-12-25,Physics,cpu,30,29,1,12,781,2510,2411,1977,31,436,50.2,66.0
2025-12-27,Physics,cpu,19,16,0,155,190,72317,2700,519,73,344,72.7,852.5
2025-12-28,Physics,gpu,43,39,2,88,703,28990,1926,1856,22,268,47.3,484.0
2025-12-28,Physics,priority,29,26,0,325,873,144160,3731,469,89,382,32.8,1787.5
2025-01-02,Biology,priority,24,21,0,203,121,28746,540,476,20,468,47.6,1116.5
2025-01-04,Biology,interactive,16,13,0,240,239,81400,4715,841,66,246,60.4,1320.0
2025-01-06,Biology,interactive,7,6,0,495,630,204442,4108,1043,16,327,90.9,2722.5
2025-01-08,Biology,debug,44,41,0,134,83,29920,4205,1964,7,260,69.8,737.0
2025-01-10,Biology,debug,40,37,1,13,279,4570,4436,559,100,279,41.1,71.5
2025-01-12,Biology,cpu,44,42,1,178,999,32683,938,2251,101,33,47.2,979.0
2025-01-14,Biology,cpu,15,13,1,428,169,86449,499,1218,4,384,69.0,2354.0
2025-01-16,Biology,gpu,24,23,1,188,966,22726,2372,2119,66,98,81.0,1034.0
2025-01-18,Biology,gpu,15,13,1,456,932,155118,2626,1367,11,222,86.0,2508.0
2025-01-19,Biology,priority,6,5,0,482,383,101224,178,30,118,167,78.1,2651.0
2025-01-21,Biology,priority,13,11,0,477,485,156818,4980,178,114,432,73.1,2623.5
2025-01-23,Biology,interactive,3,2,0,147,278,50276,4166,2365,102,110,42.5,808.5
2025-01-25,Biology,interactive,45,41,2,257,749,147856,166,669,25,14,57.6,1413.5
2025-01-27,Biology,debug,25,21,1,237,790,51404,2231,737,11,63,54.0,1303.5
2025-01-28,Biology,debug,11,9,0,103,346,27819,3936,2334,71,32,93.2,566.5
2025-02-01,Biology,cpu,14,13,0,40,72,20840,2929,149,108,158,70.5,220.0
2025-02-03,Biology,cpu,25,22,1,463,784,126901,4495,838,110,274,81.3,2546.5
2025-02-05,Biology,gpu,28,24,1,145,757,55456,2455,337,18,311,67.4,797.5
2025-02-06,Biology,priority,9,7,0,208,811,70252,1679,1722,50,171,56.4,1144.0
2025-02-08,Biology,priority,46,41,2,396,318,68673,3790,468,46,374,86.7,2178.0
2025-02-10,Biology,interactive,40,37,2,125,757,46540,3218,1946,48,216,87.2,687.5
2025-02-12,Biology,interactive,39,33,0,238,396,73812,2924,448,108,19,69.2,1309.0
2025-02-14,Biology,debug,24,23,1,231,605,52874,1941,2427,53,100,92.9,1270.5
2025-02-16,Biology,debug,14,12,0,271,420,98369,2762,703,6,194,89.5,1490.5
2025-02-18,Biology,cpu,17,16,0,322,327,109810,2811,140,28,18,86.5,1771.0
2025-02-20,Biology,cpu,2,1,0,310,973,118906,4526,1047,107,460,38.3,1705.0
2025-02-22,Biology,gpu,6,5,0,175,220,73441,593,583,92,121,72.0,962.5
2025-02-24,Biology,gpu,45,40,0,203,931,45293,546,739,19,332,38.5,1116.5
2025-02-25,Biology,priority,42,36,1,118,954,58471,701,695,50,215,34.3,649.0
2025-02-27,Biology,priority,33,31,1,203,748,56811,1618,352,62,182,47.0,1116.5
2025-02-28,Biology,interactive,29,25,0,25,786,9751,2805,1543,72,313,54.7,137.5
2025-03-01,Biology,interactive,18,17,1,130,109,32918,1129,80,6,108,33.4,715.0
2025-03-03,Biology,debug,20,17,1,499,166,212894,3511,1397,76,265,78.0,2744.5
2025-03-05,Biology,debug,30,26,0,7,976,3811,4615,1909,91,327,47.0,38.5
2025-03-07,Biology,cpu,32,28,2,10,160,5457,3582,970,87,302,87.5,55.0
2025-03-09,Biology,cpu,36,31,1,64,75,23810,4558,575,5,43,47.3,352.0
2025-03-11,Biology,gpu,47,41,2,84,59,43132,3848,1736,97,64,35.4,462.0
2025-03-13,Biology,gpu,5,4,0,348,355,135928,111,285,74,264,81.6,1914.0
2025-03-14,Biology,priority,18,16,0,310,456,107866,1830,61,78,46,87.8,1705.0
2025-03-16,Biology,interactive,19,18,0,451,381,75567,1396,1435,38,374,89.9,2480.5
2025-03-18,Biology,interactive,20,19,1,203,990,104198,2738,1128,7,234,64.4,1116.5
2025-03-20,Biology,debug,30,26,1,103,217,12102,3983,1291,19,307,58.2,566.5
2025-03-22,Biology,debug,1,0,0,300,643,152813,4416,8,61,383,42.5,1650.0
2025-03-24,Biology,cpu,35,32,0,496,543,260388,3506,888,35,117,87.9,2728.0
2025-03-26,Biology,cpu,42,38,0,279,383,157254,4993,192,50,101,77.4,1534.5
2025-03-28,Biology,gpu,21,19,0,336,184,63097,4735,1483,63,171,70.2,1848.0
2025-03-28,Biology,gpu,9,7,0,76,49,29477,1661,358,40,71,67.6,418.0
2025-04-01,Biology,priority,2,1,0,249,350,69116,473,132,81,428,56.0,1369.5
2025-04-03,Biology,priority,34,29,1,442,868,88216,3202,220,42,103,87.6,2431.0
2025-04-05,Biology,interactive,18,15,0,73,810,11352,1138,1920,73,138,86.5,401.5
2025-04-07,Biology,interactive,19,17,1,363,123,129250,2408,328,32,137,94.6,1996.5
2025-04-09,Biology,debug,25,21,1,448,614,215291,3402,1886,66,41,67.9,2464.0
2025-04-11,Biology,debug,23,20,0,201,15,57229,481,1597,63,300,46.0,1105.5
2025-04-13,Biology,cpu,46,43,2,205,190,30693,1491,967,33,279,44.9,1127.5
2025-04-15,Biology,cpu,37,35,2,446,737,125725,4438,1022,42,397,56.2,2453.0
2025-04-17,Biology,gpu,33,31,1,337,156,129368,1235,1792,111,303,63.5,1853.5
2025-04-19,Biology,gpu,44,40,2,499,113,228398,2742,1153,60,239,84.3,2744.5
2025-04-20,Biology,priority,11,10,0,56,906,14040,1084,554,98,267,35.5,308.0
2025-04-22,Biology,interactive,6,5,0,178,492,92112,303,189,98,438,77.5,979.0
2025-04-24,Biology,interactive,46,41,0,30,195,17679,2700,1481,97,218,71.0,165.0
2025-04-26,Biology,debug,3,2,0,229,819,119756,1511,436,7,195,73.2,1259.5
2025-04-28,Biology,debug,35,29,1,118,99,65413,1992,2429,63,138,83.1,649.0
2025-04-28,Biology,cpu,17,16,0,297,948,133905,3969,257,92,186,80.3,1633.5
2025-05-02,Biology,cpu,13,12,0,238,124,102888,680,17,78,268,80.0,1309.0
2025-05-04,Biology,gpu,32,30,1,336,933,101622,1123,1104,57,75,57.4,1848.0
2025-05-06,Biology,gpu,49,42,3,394,564,67390,2593,808,117,112,65.0,2167.0
2025-05-07,Biology,priority,44,42,2,491,587,65765,4576,1718,1,287,59.6,2700.5
2025-05-09,Biology,priority,5,4,0,282,318,49887,1840,809,68,79,75.5,1551.0
2025-05-11,Biology,interactive,4,3,0,308,523,63387,756,584,3,476,91.8,1694.0
2025-05-13,Biology,interactive,8,7,0,209,79,52932,3296,737,82,458,61.3,1149.5
2025-05-15,Biology,debug,22,20,0,407,441,113588,4634,2391,53,44,65.3,2238.5
2025-05-17,Biology,debug,35,30,2,201,974,120364,342,843,13,90,62.8,1105.5
2025-05-19,Biology,cpu,39,36,0,491,571,159940,278,2400,118,433,67.3,2700.5
2025-05-21,Biology,cpu,32,29,1,157,467,65994,2006,2242,21,179,80.9,863.5
2025-05-23,Biology,gpu,6,5,0,249,422,67138,612,1533,18,453,72.5,1369.5
2025-05-25,Biology,gpu,44,38,3,413,978,137833,4482,503,98,254,65.7,2271.5
2025-05-26,Biology,priority,44,42,0,344,665,84806,4047,945,103,382,37.6,1892.0
2025-05-28,Biology,interactive,6,5,0,209,335,24710,1852,441,115,337,57.3,1149.5
2025-05-28,Biology,interactive,49,43,2,357,980,72046,3288,1808,18,418,42.7,1963.5
2025-06-02,Biology,debug,2,1,0,151,865,42647,3869,2067,47,426,91.6,830.5
2025-06-04,Biology,debug,43,40,0,210,693,113067,3558,2473,92,224,70.4,1155.0
2025-06-06,Biology,cpu,8,7,0,356,678,158176,2192,1684,32,175,39.6,1958.0
2025-06-08,Biology,cpu,29,25,2,223,414,118437,3551,282,92,281,57.1,1226.5
2025-06-10,Biology,gpu,39,34,0,451,817,199514,1696,841,104,38,36.9,2480.5
2025-06-12,Biology,gpu,6,5,0,0,824,0,317,708,10,206,58.3,0.0
2025-06-13,Biology,priority,37,33,1,113,501,19382,1394,1444,14,129,66.4,621.5
2025-06-15,Biology,priority,31,28,0,95,340,13498,4979,804,85,277,75.0,522.5
2025-06-17,Biology,interactive,46,40,3,202,489,102439,3653,2413,81,357,94.4,1111.0
2025-06-19,Biology,interactive,15,14,1,98,832,39565,3935,1171,106,292,88.3,539.0
2025-06-21,Biology,debug,15,13,0,62,234,36487,674,1424,26,319,36.3,341.0
2025-06-23,Biology,debug,47,40,1,350,90,47047,4340,2102,42,131,71.3,1925.0
2025-06-25,Biology,cpu,15,14,0,13,857,3242,470,2473,110,56,41.3,71.5
2025-06-27,Biology,cpu,48,41,3,296,843,119180,2102,656,81,416,63.0,1628.0
2025-06-28,Biology,gpu,12,10,0,477,346,70918,4348,590,100,328,66.0,2623.5
2025-07-01,Biology,gpu,48,43,1,37,361,7429,2094,1941,76,174,40.9,203.5
2025-07-02,Biology,priority,41,38,2,31,572,8745,1257,1997,103,333,36.3,170.5
2025-07-04,Biology,interactive,19,16,1,476,442,157512,1866,883,26,336,91.7,2618.0
2025-07-06,Biology,interactive,16,14,0,308,462,142604,1472,1267,34,183,80.9,1694.0
2025-07-08,Biology,debug,47,41,1,276,360,43629,497,2026,27,373,78.2,1518.0
2025-07-10,Biology,debug,16,13,1,341,482,145060,4310,415,56,168,93.7,1875.5
2025-07-12,Biology,cpu,31,27,0,461,516,137759,907,1103,21,219,54.5,2535.5
2025-07-14,Biology,cpu,15,12,0,300,549,66207,2985,2355,13,376,51.7,1650.0
2025-07-16,Biology,gpu,45,40,1,456,487,195096,4975,999,18,385,55.0,2508.0
2025-07-18,Biology,gpu,24,23,1,301,71,37292,3185,2286,77,302,85.2,1655.5
2025-07-19,Biology,priority,26,22,1,442,865,180892,2732,33,76,346,78.9,2431.0
2025-07-21,Biology,priority,26,22,1,415,881,118045,380,2158,23,57,44.5,2282.5
2025-07-23,Biology,interactive,46,41,1,210,110,83055,4628,706,80,80,33.8,1155.0
2025-07-25,Biology,interactive,22,19,1,34,218,8791,3362,456,36,86,64.0,187.0
2025-07-27,Biology,debug,42,36,0,418,397,152459,1570,1200,71,373,60.7,2299.0
2025-07-28,Biology,debug,16,14,0,361,50,82503,677,1382,82,104,67.9,1985.5
