Date,Switch,Port,TX_Bytes,RX_Bytes,TX_Packets,RX_Packets,TX_Errors,RX_Errors,Link_Downed,Symbol_Errors,Port_Utilization_PCT
2025-01-05,Spine-1,29,502059228,90144680,122573,22007,1,1,0,3,59.3
2025-01-05,Spine-2,6,679547842,559924811,165905,136700,0,0,0,2,81.6
2025-01-05,Spine-2,16,301369907,767934625,73576,187484,1,0,0,0,84.3
2025-01-05,Spine-2,25,375755022,467610667,91737,114162,2,2,0,4,45.7
2025-01-06,Spine-1,3,233056506,368235848,56898,89901,0,0,0,1,80.5
2025-01-06,Spine-1,13,906448086,735678529,221300,179609,0,2,0,0,52.0
2025-01-06,Spine-1,22,496483485,20936914,121211,5111,0,0,0,9,57.0
2025-01-06,Spine-1,32,64675001,500850126,15789,122277,0,0,0,7,22.8
2025-01-06,Spine-2,9,672335710,900380236,164144,219819,0,2,0,4,55.2
2025-01-06,Spine-2,19,148740421,345650907,36313,84387,0,1,0,0,70.0
2025-01-06,Spine-2,28,445193817,528133716,108689,128938,0,1,0,1,48.4
2025-01-07,Spine-1,6,123963770,491357981,30264,119960,0,0,0,0,56.1
2025-01-07,Spine-1,15,286026981,836557260,69830,204237,2,1,0,5,84.2
2025-01-07,Spine-1,25,308719626,280811286,75371,68557,1,0,0,5,77.1
2025-01-07,Spine-2,3,504367319,22374699,123136,5462,0,1,0,1,84.9
2025-01-07,Spine-2,12,753585365,205427094,183980,50153,2,0,0,6,37.5
2025-01-07,Spine-2,22,467189137,54446112,114059,13292,1,0,0,9,69.0
2025-01-07,Spine-2,31,796309061,379717985,194411,92704,1,1,0,6,64.8
2025-01-08,Spine-1,9,635863950,61129106,155240,14924,0,0,0,2,73.5
2025-01-08,Spine-1,18,465604682,135109469,113673,32985,0,0,0,4,40.2
2025-01-08,Spine-1,28,858205903,298019617,209522,72758,1,1,0,4,50.1
2025-01-08,Spine-2,5,47593182,293260941,11619,71596,2,0,0,4,60.0
2025-01-08,Spine-2,15,186722142,32113265,45586,7840,1,0,0,4,62.9
2025-01-08,Spine-2,25,903418467,353917602,220561,86405,1,1,0,1,54.5
2025-01-08,Leaf-1,2,804584931,78942855,196431,19273,4,3,0,4,30.5
2025-01-08,Leaf-1,12,620169973,769530551,151408,187873,3,3,0,15,80.9
2025-01-08,Leaf-1,21,261707341,423974518,63893,103509,1,3,0,9,58.4
2025-01-08,Leaf-1,31,33660213,110940824,8217,27085,1,4,0,6,48.5
2025-01-08,Leaf-2,6,279315524,196209429,68192,47902,0,1,0,11,65.3
2025-01-08,Leaf-2,16,440886233,346547054,107638,84606,2,0,0,18,46.9
2025-01-08,Leaf-2,25,251076643,778627214,61298,190094,0,1,0,1,90.6
2025-01-08,Leaf-3,1,883186683,727968159,215621,177726,2,3,0,9,89.4
2025-01-08,Leaf-3,10,356053050,476344861,86927,116295,3,0,0,17,35.6
2025-01-08,Leaf-3,20,450233791,620075643,109920,151385,0,4,0,9,68.8
2025-01-08,Leaf-3,30,597958492,882081532,145985,215351,3,1,0,10,83.5
2025-01-08,Leaf-4,5,339157893,896672959,82802,218914,2,1,0,14,74.0
2025-01-08,Leaf-4,15,536231816,163088438,130915,39816,0,1,0,17,47.0
2025-01-08,Leaf-4,24,631460967,769171577,154165,187786,3,2,0,4,46.9
2025-01-08,Leaf-4,34,408440417,16467294,99716,4020,2,3,0,19,59.7
2025-01-09,Spine-1,9,870466725,584812741,212516,142776,2,0,0,8,33.8
2025-01-09,Spine-1,19,31255765,45318932,7630,11064,1,2,0,3,32.4
2025-01-09,Spine-1,28,982952829,896066926,239978,218766,1,0,0,0,32.9
2025-01-09,Spine-2,6,365187701,101207612,89157,24708,2,1,0,8,59.1
2025-01-09,Spine-2,16,408877967,375578808,99823,91694,1,2,0,9,36.9
2025-01-09,Spine-2,25,277934581,446850432,67855,109094,2,1,0,9,68.5
2025-01-10,Spine-1,3,623524847,249953734,152227,61023,2,2,0,4,79.5
2025-01-10,Spine-1,12,109639566,741851965,26767,181116,1,2,0,9,64.8
2025-01-10,Spine-1,22,551765782,485592894,134708,118552,1,0,0,6,25.7
2025-01-10,Spine-1,31,474059923,480066815,115737,117203,0,0,0,2,71.4
2025-01-10,Spine-2,9,98991498,242925169,24167,59307,0,0,0,5,76.3
2025-01-10,Spine-2,18,575960625,945324828,140615,230792,1,2,0,0,75.5
2025-01-10,Spine-2,28,967640006,926487148,236240,226193,0,0,0,0,46.1
2025-01-11,Spine-1,6,335061752,965209300,81802,235646,1,1,0,7,51.1
2025-01-11,Spine-1,15,638193255,106920819,155808,26103,1,0,0,0,62.4
2025-01-11,Spine-1,25,570040537,34691304,139170,8469,2,0,0,4,49.8
2025-01-11,Spine-2,2,702979859,543642244,171625,132725,2,2,0,2,43.9
2025-01-11,Spine-2,12,172383236,590875141,42085,144256,0,1,0,3,33.6
2025-01-11,Spine-2,21,435310311,434662065,106276,106118,0,0,0,2,72.7
2025-01-11,Spine-2,31,228911554,292410516,55886,71389,0,0,0,8,77.7
2025-01-12,Spine-1,8,978380690,764936384,238862,186752,1,1,0,8,66.9
2025-01-12,Spine-1,18,697234252,742885490,170223,181368,2,2,0,7,36.2
2025-01-12,Spine-1,28,903546927,510598533,220592,124657,2,2,0,1,32.8
2025-01-12,Spine-2,5,393008176,303263697,95949,74038,1,0,0,1,84.8
2025-01-12,Spine-2,15,982464652,700061236,239859,170913,1,2,0,2,55.8
2025-01-12,Spine-2,24,779105164,142568903,190211,34806,0,1,0,2,62.4
2025-01-13,Spine-1,2,730251813,286936262,178284,70052,0,2,0,8,75.1
2025-01-13,Spine-1,11,280364647,124326666,68448,30353,0,2,0,1,35.0
2025-01-13,Spine-1,21,552057664,410538389,134779,100229,0,1,0,7,29.0
2025-01-13,Spine-1,30,355431273,89586758,86775,21871,1,1,0,5,28.7
2025-01-13,Spine-2,8,614320753,987905134,149980,241187,2,1,0,4,23.5
2025-01-13,Spine-2,17,893626588,494171960,218170,120647,0,2,0,2,33.7
2025-01-13,Spine-2,27,236115493,88308173,57645,21559,2,1,0,3,81.7
2025-01-14,Spine-1,5,715674965,194184375,174725,47408,2,0,0,5,41.4
2025-01-14,Spine-1,14,144751564,395692385,35339,96604,2,1,0,0,62.7
2025-01-14,Spine-1,24,302425271,807990158,73834,197263,1,0,0,1,27.6
2025-01-14,Spine-2,1,125755847,971175926,30702,237103,0,1,0,5,31.2
2025-01-14,Spine-2,11,814633124,788607091,198885,192531,0,1,0,6,61.1
2025-01-14,Spine-2,20,108266544,422349083,26432,103112,0,2,0,2,29.0
2025-01-14,Spine-2,30,694742346,532718159,169614,130058,1,2,0,1,60.9
2025-01-15,Spine-1,7,179200631,644410275,43750,157326,2,0,0,9,67.3
2025-01-15,Spine-1,17,852816642,37539775,208207,9164,0,1,0,9,82.4
2025-01-15,Spine-1,27,320974004,560167663,78362,136759,2,0,0,7,46.1
2025-01-15,Spine-2,4,854888651,377099445,208713,92065,0,0,0,0,67.6
2025-01-15,Spine-2,14,16179469,277670283,3950,67790,1,1,0,9,46.3
2025-01-15,Spine-2,23,175712881,253321895,42898,61846,1,1,0,3,40.7
2025-01-15,Leaf-1,1,972327896,929915614,237384,227030,3,0,0,7,57.8
2025-01-15,Leaf-1,10,411530194,570405893,100471,139259,0,3,0,7,90.5
2025-01-15,Leaf-1,20,790928500,614914074,193097,150125,4,2,0,15,90.6
2025-01-15,Leaf-1,29,443666955,153196077,108317,37401,4,4,0,8,73.7
2025-01-15,Leaf-2,5,162684735,253987612,39717,62008,1,3,0,5,39.1
2025-01-15,Leaf-2,15,850383425,622085994,207613,151876,4,2,0,18,67.2
2025-01-15,Leaf-2,24,277788280,632896267,67819,154515,4,2,0,2,33.4
2025-01-15,Leaf-2,34,28840002,557386780,7041,136080,2,3,0,9,30.1
2025-01-15,Leaf-3,9,631358415,608983515,154140,148677,1,4,0,12,70.7
2025-01-15,Leaf-3,19,591451069,517308906,144397,126296,3,4,0,16,32.5
2025-01-15,Leaf-3,28,449641659,910508376,109775,222292,1,4,0,10,77.3
2025-01-15,Leaf-4,4,602103206,214403112,146997,52344,3,3,0,7,60.3
2025-01-15,Leaf-4,13,12621487,578822848,3081,141314,1,1,0,19,61.0
2025-01-15,Leaf-4,23,804583110,73858584,196431,18031,3,3,0,16,89.2
2025-01-15,Leaf-4,33,429033816,212146331,104744,51793,2,0,0,0,38.0
2025-01-16,Spine-1,8,107588170,250847817,26266,61242,1,0,0,2,56.0
2025-01-16,Spine-1,18,752366057,850522370,183683,207647,2,1,0,8,48.9
2025-01-16,Spine-1,27,709171094,799070979,173137,195085,1,1,0,2,71.9
2025-01-16,Spine-2,5,709412951,275285919,173196,67208,0,0,0,1,60.6
2025-01-16,Spine-2,14,263681198,691483422,64375,168819,2,2,0,3,64.9
2025-01-16,Spine-2,24,547068947,752227375,133561,183649,0,2,0,9,84.5
2025-01-17,Spine-1,1,788135969,22591295,192416,5515,2,1,0,5,39.3
2025-01-17,Spine-1,11,943367277,282495251,230314,68968,0,2,0,7,43.8
2025-01-17,Spine-1,20,153207386,87584943,37404,21383,1,2,0,3,26.0
2025-01-17,Spine-1,30,809892500,516327841,197727,126056,0,1,0,7,20.8
2025-01-17,Spine-2,8,707176095,629464999,172650,153677,0,0,0,0,66.1
2025-01-17,Spine-2,17,519129794,123024458,126740,30035,1,2,0,0,58.3
2025-01-17,Spine-2,27,838501095,227312219,204712,55496,0,2,0,1,50.0
2025-01-18,Spine-1,4,347257974,416931567,84779,101789,2,1,0,2,28.3
2025-01-18,Spine-1,14,253653876,87873814,61927,21453,0,2,0,2,34.5
2025-01-18,Spine-1,23,99136816,233034961,24203,56893,0,1,0,7,22.6
2025-01-18,Spine-2,1,658530586,399613873,160774,97561,2,0,0,6,23.1
2025-01-18,Spine-2,10,942703478,883187850,230152,215622,0,1,0,0,42.0
2025-01-18,Spine-2,20,519152744,528535881,126746,129037,2,0,0,5,68.7
2025-01-18,Spine-2,30,442787623,504233875,108102,123103,1,2,0,6,56.8
2025-01-19,Spine-1,7,294717834,942486309,71952,230099,2,1,0,4,59.8
2025-01-19,Spine-1,17,573187803,849563138,139938,207412,2,2,0,9,54.2
2025-01-19,Spine-1,26,199361031,372655522,48672,90980,1,0,0,6,73.2
2025-01-19,Spine-2,4,215012439,115591325,52493,28220,1,1,0,8,30.7
2025-01-19,Spine-2,13,484064779,440438962,118179,107529,2,0,0,6,72.2
2025-01-19,Spine-2,23,328104766,537099647,80103,131127,0,0,0,2,35.6
2025-01-19,Spine-2,32,210133481,341337737,51302,83334,2,2,0,7,64.6
2025-01-20,Spine-1,10,444395469,893305390,108494,218092,0,0,0,6,46.7
2025-01-20,Spine-1,20,898858562,311655253,219447,76087,2,2,0,6,23.0
2025-01-20,Spine-1,29,77525737,758445390,18927,185167,0,1,0,2,73.8
2025-01-20,Spine-2,7,349733701,67640674,85384,16513,1,2,0,8,82.4
2025-01-20,Spine-2,16,687317009,83336404,167802,20345,2,1,0,8,67.5
2025-01-20,Spine-2,26,204000693,314200475,49804,76709,0,0,0,0,23.9
2025-01-21,Spine-1,3,351072181,954236150,85710,232967,0,2,0,7,61.4
2025-01-21,Spine-1,13,541357418,458561090,132167,111953,1,0,0,1,64.7
2025-01-21,Spine-1,22,61376718,148479923,14984,36249,1,1,0,4,59.5
2025-01-21,Spine-1,32,609287312,751322918,148751,183428,1,0,0,3,43.6
2025-01-21,Spine-2,10,56855079,184581953,13880,45063,2,1,0,2,40.1
2025-01-21,Spine-2,19,983664408,786132107,240152,191926,1,1,0,1,63.3
2025-01-21,Spine-2,29,56251233,700334155,13733,170980,0,0,0,0,22.4
2025-01-22,Spine-1,6,598574558,291382646,146136,71138,0,0,0,5,30.5
2025-01-22,Spine-1,16,400931988,664845625,97883,162315,1,2,0,6,20.6
2025-01-22,Spine-1,25,56664218,108816217,13834,26566,2,0,0,2,39.3
2025-01-22,Spine-2,3,52902476,166026333,12915,40533,0,2,0,1,63.5
2025-01-22,Spine-2,12,109320820,255509167,26689,62380,2,0,0,1,38.6
2025-01-22,Spine-2,22,924293548,403277811,225657,98456,1,0,0,2,34.4
2025-01-22,Spine-2,31,673554757,636531017,164442,155403,0,1,0,9,81.7
2025-01-22,Leaf-1,9,543314970,374341267,132645,91391,2,0,0,5,86.4
2025-01-22,Leaf-1,19,734913546,237936438,179422,58089,4,4,0,11,72.1
2025-01-22,Leaf-1,28,315439136,723729705,77011,176691,3,0,0,1,80.1
2025-01-22,Leaf-2,4,469487332,605084233,114620,147725,3,3,0,8,60.6
2025-01-22,Leaf-2,13,684879673,396699369,167206,96850,2,0,0,11,83.7
2025-01-22,Leaf-2,23,96483619,234430443,23555,57233,2,3,0,15,89.6
2025-01-22,Leaf-2,32,230166892,409892248,56193,100071,1,0,0,7,31.4
2025-01-22,Leaf-3,8,244512309,77631468,59695,18952,2,3,0,14,33.1
2025-01-22,Leaf-3,17,663965825,433567836,162101,105851,3,2,0,18,67.9
2025-01-22,Leaf-3,27,253640959,189993481,61924,46385,3,4,0,17,92.7
2025-01-22,Leaf-4,3,467444682,413678285,114122,100995,3,3,0,3,34.6
2025-01-22,Leaf-4,12,83971196,775356400,20500,189295,1,2,0,3,94.6
2025-01-22,Leaf-4,22,940203787,409174755,229541,99896,4,2,0,1,90.4
2025-01-22,Leaf-4,31,552111677,234364376,134792,57217,4,3,0,19,84.0
2025-01-23,Spine-1,7,279695968,90985317,68285,22213,0,2,0,6,27.4
2025-01-23,Spine-1,16,336604989,228238117,82178,55722,1,2,0,4,64.7
2025-01-23,Spine-1,26,309466454,686924052,75553,167706,0,1,0,4,37.1
2025-01-23,Spine-2,3,720975641,471448136,176019,115099,1,2,0,3,71.7
2025-01-23,Spine-2,13,938095286,849780445,229027,207465,0,1,0,6,80.6
2025-01-23,Spine-2,23,406306203,728816511,99195,177933,2,2,0,8,71.9
2025-01-23,Spine-2,32,632759820,348829778,154482,85163,2,2,0,1,29.9
2025-01-24,Spine-1,10,840288496,329222235,205148,80376,0,2,0,0,78.0
2025-01-24,Spine-1,19,156239566,184653562,38144,45081,1,0,0,0,49.5
2025-01-24,Spine-1,29,935885647,338397190,228487,82616,1,2,0,4,80.6
2025-01-24,Spine-2,6,748173889,763221214,182659,186333,1,1,0,4,66.6
2025-01-24,Spine-2,16,595032042,744003127,145271,181641,0,0,0,6,68.7
2025-01-24,Spine-2,25,111109547,743224589,27126,181451,2,1,0,9,68.2
2025-01-25,Spine-1,3,366697986,739663006,89525,180581,2,0,0,9,44.2
2025-01-25,Spine-1,12,32986992,300251726,8053,73303,1,1,0,6,80.3
2025-01-25,Spine-1,22,533289880,603092352,130197,147239,0,2,0,0,51.6
2025-01-25,Spine-1,32,796372456,654087598,194426,159689,0,2,0,1,75.0
2025-01-25,Spine-2,9,779619445,961250318,190336,234680,2,0,0,8,74.2
2025-01-25,Spine-2,19,811756099,480133193,198182,117220,2,1,0,2,41.9
2025-01-25,Spine-2,28,424897642,785571314,103734,191789,1,2,0,7,73.7
2025-01-26,Spine-1,6,790441948,619928324,192978,151349,2,1,0,6,57.9
2025-01-26,Spine-1,15,23971584,337807932,5852,82472,1,0,0,6,25.1
2025-01-26,Spine-1,25,172572703,420174832,42132,102581,0,0,0,5,25.0
2025-01-26,Spine-2,2,722059082,48812835,176283,11917,1,2,0,8,55.9
2025-01-26,Spine-2,12,423398598,226330816,103368,55256,1,0,0,4,22.6
2025-01-26,Spine-2,22,387031882,867032891,94490,211677,0,0,0,7,40.8
2025-01-26,Spine-2,31,924805835,569189069,225782,138962,1,1,0,0,26.5
2025-01-27,Spine-1,9,450695477,156851300,110033,38293,0,2,0,1,33.9
2025-01-27,Spine-1,18,38941049,703297238,9507,171703,2,1,0,4,82.1
2025-01-27,Spine-1,28,531223084,406849369,129693,99328,0,2,0,0,44.0
2025-01-27,Spine-2,5,502811438,963485859,122756,235226,2,0,0,2,84.4
2025-01-27,Spine-2,15,605155719,269847825,147743,65880,0,1,0,7,34.6
2025-01-27,Spine-2,24,153020509,255274011,37358,62322,1,2,0,8,70.2
2025-01-28,Spine-1,2,585184345,431848405,142867,105431,1,1,0,6,63.0
2025-01-28,Spine-1,12,705237290,52075532,172177,12713,1,1,0,2,47.9
2025-01-28,Spine-1,21,113866879,614166537,27799,149943,2,1,0,7,46.1
2025-01-28,Spine-1,31,339268875,900651331,82829,219885,1,0,0,6,40.4
2025-01-28,Spine-2,8,113306734,325969961,27662,79582,1,1,0,1,75.0
2025-01-28,Spine-2,18,899021037,35619073,219487,8696,0,0,0,5,33.2
2025-01-28,Spine-2,27,679336720,153672834,165853,37517,0,1,0,2,69.7
2025-01-29,Spine-1,5,352601948,761925968,86084,186017,2,0,0,6,39.5
2025-01-29,Spine-1,14,61714672,468524514,15067,114385,2,0,0,9,25.9
2025-01-29,Spine-1,24,784400432,187091890,191504,45676,1,0,0,0,25.1
2025-01-29,Spine-2,2,651213134,462660051,158987,112954,2,2,0,6,82.9
2025-01-29,Spine-2,11,619921406,170658919,151347,41664,1,1,0,7,29.9
2025-01-29,Spine-2,21,482352685,785941279,117761,191880,2,1,0,5,50.0
2025-01-29,Spine-2,30,177699355,191541430,43383,46763,0,1,0,7,49.4
2025-01-29,Leaf-1,8,330031678,566157600,80574,138222,1,4,0,5,65.3
2025-01-29,Leaf-1,17,284510177,125073924,69460,30535,0,4,0,18,52.6
2025-01-29,Leaf-1,27,507045258,506958133,123790,123769,2,2,0,18,83.7
2025-01-29,Leaf-2,2,334326894,13884420,81622,3389,0,1,0,0,44.5
2025-01-29,Leaf-2,12,765047039,174955533,186779,42713,4,3,0,6,33.5
2025-01-29,Leaf-2,21,861926300,136674038,210431,33367,3,0,0,8,91.4
2025-01-29,Leaf-2,31,764553705,768425366,186658,187603,0,4,0,8,61.4
2025-01-29,Leaf-3,7,512399632,23311498,125097,5691,1,1,0,14,61.7
2025-01-29,Leaf-3,16,379070503,470702451,92546,114917,1,2,0,16,87.3
2025-01-29,Leaf-3,26,864773923,655019619,211126,159916,2,0,0,15,50.9
2025-01-29,Leaf-4,1,215202536,233864184,52539,57095,1,4,1,14,41.7
2025-01-29,Leaf-4,11,623838460,750223339,152304,183159,4,2,0,9,54.8
2025-01-29,Leaf-4,20,631764779,560677878,154239,136884,1,0,0,9,51.7
2025-01-29,Leaf-4,30,301434191,218497848,73592,53344,4,1,0,6,57.4
2025-01-30,Spine-1,5,375467300,598605377,91666,146143,0,1,0,3,51.9
2025-01-30,Spine-1,15,569633350,991196881,139070,241991,2,0,0,7,66.4
2025-01-30,Spine-1,25,294605405,813437550,71925,198593,2,1,0,1,67.5
2025-01-30,Spine-2,2,310791485,851611734,75876,207913,0,0,0,7,73.5
2025-01-30,Spine-2,12,728172861,988233851,177776,241268,2,1,0,0,59.5
2025-01-30,Spine-2,21,16436346,203265673,4012,49625,1,2,0,0,45.3
2025-01-30,Spine-2,31,450274838,90697472,109930,22142,2,0,0,2,42.0
2025-01-31,Spine-1,8,33483986,769217306,8174,187797,0,0,0,8,53.2
2025-01-31,Spine-1,18,696507043,972361585,170045,237392,0,0,0,7,29.2
2025-01-31,Spine-1,27,784374906,411242051,191497,100400,1,2,0,8,74.5
2025-01-31,Spine-2,5,235024685,780411856,57379,190530,1,1,0,3,67.0
2025-01-31,Spine-2,15,564865104,767206889,137906,187306,0,2,0,0,57.0
2025-01-31,Spine-2,24,918243885,665459641,224180,162465,0,1,0,2,25.5
2025-02-01,Spine-1,2,249827510,56859243,60993,13881,0,0,0,3,43.0
2025-02-01,Spine-1,11,54081883,977681703,13203,238691,1,1,0,5,22.0
2025-02-01,Spine-1,21,393219236,665513957,96000,162478,0,2,0,9,44.9
2025-02-01,Spine-1,30,293445956,342267755,71642,83561,2,0,0,3,36.8
2025-02-01,Spine-2,8,724598337,899076117,176903,219501,1,0,0,9,44.5
2025-02-01,Spine-2,17,91755304,113963419,22401,27823,2,0,0,8,76.5
2025-02-01,Spine-2,27,159416818,919141676,38920,224399,0,0,0,3,47.6
2025-02-02,Spine-1,5,916992543,506320976,223875,123613,2,2,0,7,23.9
2025-02-02,Spine-1,14,810558033,728710609,197890,177907,1,1,0,2,39.4
2025-02-02,Spine-1,24,22514936,105909466,5496,25856,0,2,0,0,63.8
2025-02-02,Spine-2,1,355218113,696171896,86723,169963,1,2,0,2,21.0
2025-02-02,Spine-2,11,759404811,386173341,185401,94280,2,1,0,0,29.6
2025-02-02,Spine-2,20,205122378,472621741,50078,115386,2,1,0,3,76.5
2025-02-02,Spine-2,30,853792664,614423417,208445,150005,0,2,0,7,59.1
2025-02-03,Spine-1,7,956236056,790134685,233456,192903,1,2,0,2,57.2
2025-02-03,Spine-1,17,312548983,429962561,76305,104971,2,1,0,1,56.5
2025-02-03,Spine-1,26,123351728,637197788,30115,155565,2,2,0,0,56.6
2025-02-03,Spine-2,4,733330062,413662079,179035,100991,1,0,0,8,38.0
2025-02-03,Spine-2,14,961783645,824035724,234810,201180,2,1,0,1,64.1
2025-02-03,Spine-2,23,709682118,269052896,173262,65686,1,1,0,3,62.1
2025-02-04,Spine-1,1,526634203,577789969,128572,141062,0,1,0,3,42.4
2025-02-04,Spine-1,10,708084061,497065409,172872,121353,2,2,0,8,57.9
2025-02-04,Spine-1,20,935290205,319564948,228342,78018,2,0,0,4,35.3
2025-02-04,Spine-1,29,973287283,296296430,237618,72337,1,2,0,6,84.7
2025-02-04,Spine-2,7,858922624,134615660,209697,32865,1,1,0,2,62.1
2025-02-04,Spine-2,16,565310884,765677135,138015,186932,1,2,0,2,57.6
2025-02-04,Spine-2,26,589658516,426941374,143959,104233,0,1,0,4,33.2
2025-02-05,Spine-1,4,464917546,385930232,113505,94221,1,1,0,3,38.8
2025-02-05,Spine-1,13,884184892,402266933,215865,98209,2,1,0,0,76.3
2025-02-05,Spine-1,23,296903244,99443003,72486,24278,0,2,0,1,24.4
2025-02-05,Spine-1,32,724160194,812768490,176796,198429,1,1,0,3,81.6
2025-02-05,Spine-2,10,286448902,644742006,69933,157407,0,1,0,7,43.2
2025-02-05,Spine-2,19,578499464,43851017,141235,10705,0,1,0,3,43.4
2025-02-05,Spine-2,29,367629592,522698358,89753,127611,0,2,0,6,80.0
2025-02-05,Leaf-1,6,228248206,626940638,55724,153061,1,0,0,13,55.8
2025-02-05,Leaf-1,16,882251345,735967274,215393,179679,0,3,0,2,67.7
2025-02-05,Leaf-1,26,969068913,17894033,236589,4368,0,2,0,14,45.7
2025-02-05,Leaf-2,1,782126748,690592074,190948,168601,0,4,0,17,84.4
2025-02-05,Leaf-2,11,84738587,759769108,20688,185490,2,3,0,9,86.2
2025-02-05,Leaf-2,20,87603428,655818377,21387,160111,2,0,0,11,79.2
2025-02-05,Leaf-2,30,121861517,890160032,29751,217324,1,0,0,12,76.2
2025-02-05,Leaf-3,5,71396849,800425420,17430,195416,0,1,0,18,68.6
2025-02-05,Leaf-3,15,177621583,114106299,43364,27857,1,4,0,16,75.9
2025-02-05,Leaf-3,24,262514579,706948811,64090,172594,4,2,0,5,30.6
2025-02-05,Leaf-3,34,812211735,116052962,198293,28333,0,1,0,12,50.8
2025-02-05,Leaf-4,10,815912586,466398969,199197,113866,1,0,0,11,49.0
2025-02-05,Leaf-4,19,921817709,630190423,225053,153855,1,2,0,15,60.0
2025-02-05,Leaf-4,29,603686226,338899683,147384,82739,0,4,0,19,84.5
2025-02-06,Spine-1,4,350773884,770424414,85638,188091,2,1,0,1,82.3
2025-02-06,Spine-1,14,105757106,584734923,25819,142757,0,2,0,7,76.4
2025-02-06,Spine-1,23,446666237,700507847,109049,171022,2,2,0,2,79.7
2025-02-06,Spine-2,1,180739814,141938636,44125,34652,1,0,0,8,60.3
2025-02-06,Spine-2,10,616799799,818950837,150585,199939,0,0,0,5,67.4
2025-02-06,Spine-2,20,531041109,359077092,129648,87665,0,2,0,5,62.6
2025-02-06,Spine-2,29,684827981,789017509,167194,192631,2,0,0,7,20.4
2025-02-07,Spine-1,7,813724469,557972317,198663,136223,2,0,0,4,72.3
