Date,Node_ID,Row,Primary_Department,Avg_GPU_Utilization_PCT,Avg_Memory_Utilization_PCT,Avg_SM_Clock_MHz,Avg_Power_W,Max_Temperature_C,ECC_Correctable_Errors,ECC_Uncorrectable_Errors,XID_Errors,Jobs_Run,Total_GPU_Hours,PCIe_Replay_Count,NVLink_Errors,Fan_Speed_PCT
2025-07-02,hpc-gpu-063,C,Engineering,100.0,90.5,1233,405.0,97.1,0,0,0,10,192.0,3,1,125.0
2025-07-02,hpc-gpu-064,C,Medical Research,94.2,74.6,1389,425.0,90.1,0,0,0,10,181.0,1,1,111.0
2025-07-02,hpc-gpu-065,C,Physics,100.0,76.8,1168,416.0,91.6,0,0,0,2,192.0,3,1,116.0
2025-07-02,hpc-gpu-066,C,Biology,78.2,47.5,1410,359.0,85.7,0,0,0,11,150.1,1,0,108.0
2025-07-02,hpc-gpu-067,C,Chemistry,71.7,43.8,1410,375.0,83.2,0,0,0,7,137.6,3,0,99.0
2025-07-02,hpc-gpu-068,C,Computer Science,58.5,42.2,1410,335.0,82.8,0,0,0,1,112.3,1,1,98.0
2025-07-02,hpc-gpu-070,C,Mathematics,58.5,47.4,1410,338.0,79.3,0,0,0,5,112.3,4,0,94.0
2025-07-02,hpc-gpu-071,C,Engineering,90.6,68.4,1180,385.0,90.7,0,0,0,8,173.9,3,1,114.0
2025-07-02,hpc-gpu-072,C,Medical Research,75.9,68.3,1410,376.0,81.0,0,0,0,6,145.6,2,1,100.0
2025-07-03,hpc-gpu-049,C,Physics,90.8,56.4,1160,371.0,91.9,0,0,0,5,174.3,3,1,113.0
2025-07-03,hpc-gpu-050,C,Biology,89.5,78.3,1213,394.0,87.3,0,0,0,10,171.8,0,1,108.0
2025-07-03,hpc-gpu-051,C,Chemistry,71.5,55.9,1410,383.0,78.5,0,0,0,2,137.2,4,0,97.0
2025-07-03,hpc-gpu-052,C,Computer Science,70.6,53.8,1410,330.0,79.6,0,0,0,9,135.6,3,1,96.0
2025-07-03,hpc-gpu-055,C,Engineering,89.0,61.2,1229,386.0,89.4,0,0,0,3,171.0,2,1,114.0
2025-07-03,hpc-gpu-056,C,Medical Research,87.9,71.8,1390,351.0,91.9,0,0,0,1,168.7,2,1,112.0
2025-07-03,hpc-gpu-057,C,Physics,100.0,87.6,1269,394.0,94.4,0,0,0,2,192.0,2,0,120.0
2025-07-03,hpc-gpu-058,C,Biology,72.4,67.4,1410,360.0,81.8,0,0,0,7,139.0,4,0,98.0
2025-07-03,hpc-gpu-059,C,Chemistry,79.1,49.4,1410,390.0,82.3,0,0,0,0,151.9,1,0,101.0
2025-07-03,hpc-gpu-060,C,Computer Science,86.3,56.0,1389,393.0,90.3,0,0,0,6,165.7,3,1,112.0
2025-07-03,hpc-gpu-063,C,Engineering,85.7,78.7,1314,375.0,90.7,0,0,0,10,164.6,1,0,112.0
2025-07-03,hpc-gpu-064,C,Medical Research,86.1,75.0,1144,388.0,80.9,0,0,0,3,165.3,4,0,100.0
2025-07-03,hpc-gpu-065,C,Physics,100.0,66.9,1173,379.0,93.7,0,0,0,6,192.0,2,0,114.0
2025-07-03,hpc-gpu-066,C,Biology,83.4,76.5,1410,378.0,84.5,0,0,0,11,160.1,2,0,102.0
2025-07-03,hpc-gpu-067,C,Chemistry,92.2,58.0,1379,376.0,92.5,0,0,0,4,177.0,4,1,113.0
2025-07-03,hpc-gpu-068,C,Computer Science,67.5,55.5,1410,350.0,76.6,0,0,0,0,129.6,3,0,89.0
2025-07-03,hpc-gpu-071,C,Engineering,92.9,59.0,1248,401.0,89.9,0,0,0,8,178.4,0,0,111.0
2025-07-03,hpc-gpu-072,C,Medical Research,82.4,72.7,1410,375.0,87.1,0,0,0,1,158.2,1,0,105.0
2025-07-04,hpc-gpu-049,C,Physics,98.4,79.8,1206,401.0,89.3,0,0,0,4,188.9,3,1,113.0
2025-07-04,hpc-gpu-050,C,Biology,95.7,79.0,1123,393.0,87.8,0,0,0,9,183.8,0,1,110.0
2025-07-04,hpc-gpu-051,C,Chemistry,72.0,50.2,1410,385.0,80.8,0,0,0,10,138.3,2,0,100.0
2025-07-04,hpc-gpu-052,C,Computer Science,74.8,53.9,1410,371.0,82.5,0,0,0,8,143.7,1,1,101.0
2025-07-04,hpc-gpu-055,C,Engineering,89.8,61.5,1341,395.0,89.8,0,0,0,10,172.4,1,1,112.0
2025-07-04,hpc-gpu-056,C,Medical Research,83.2,66.5,1410,377.0,80.8,0,0,0,5,159.8,1,1,99.0
2025-07-04,hpc-gpu-057,C,Physics,89.3,75.4,1112,409.0,93.0,0,0,0,7,171.4,3,0,114.0
2025-07-04,hpc-gpu-058,C,Biology,82.6,56.3,1410,405.0,86.8,0,0,0,5,158.6,3,0,108.0
2025-07-04,hpc-gpu-059,C,Chemistry,79.4,58.1,1410,388.0,85.1,0,0,0,7,152.5,1,0,106.0
2025-07-04,hpc-gpu-060,C,Computer Science,73.7,63.0,1410,371.0,76.6,0,0,0,9,141.5,3,0,91.0
2025-07-04,hpc-gpu-061,C,Earth Sciences,57.9,45.1,1410,367.0,76.8,0,0,0,2,111.2,0,0,94.0
2025-07-04,hpc-gpu-063,C,Engineering,79.8,74.6,1410,391.0,85.5,0,0,0,10,153.2,2,0,103.0
2025-07-04,hpc-gpu-064,C,Medical Research,82.9,64.7,1410,371.0,86.4,0,0,0,6,159.1,1,1,109.0
2025-07-04,hpc-gpu-065,C,Physics,100.0,88.8,1327,392.0,92.5,0,0,0,2,192.0,3,1,112.0
2025-07-04,hpc-gpu-066,C,Biology,82.3,51.4,1410,343.0,88.9,0,0,0,3,158.1,1,0,108.0
2025-07-04,hpc-gpu-067,C,Chemistry,81.1,53.0,1410,399.0,83.1,0,0,0,4,155.8,4,1,103.0
2025-07-04,hpc-gpu-068,C,Computer Science,80.2,63.1,1410,370.0,82.3,0,0,0,7,154.1,4,0,103.0
2025-07-04,hpc-gpu-069,C,Earth Sciences,65.9,40.7,1410,363.0,78.1,0,0,0,8,126.6,4,0,92.0
2025-07-04,hpc-gpu-071,C,Engineering,81.4,65.7,1410,403.0,84.4,0,0,0,10,156.3,1,0,102.0
2025-07-04,hpc-gpu-072,C,Medical Research,91.6,71.6,1272,387.0,97.4,0,0,0,8,175.9,2,0,121.0
2025-07-05,hpc-gpu-050,C,Biology,47.6,29.5,1410,366.0,64.2,0,0,0,7,91.4,3,1,71.0
2025-07-05,hpc-gpu-056,C,Medical Research,64.9,56.3,1410,327.0,82.0,0,0,0,5,124.5,2,1,102.0
2025-07-05,hpc-gpu-057,C,Physics,69.9,51.9,1410,364.0,78.6,0,0,0,0,134.3,0,0,95.0
2025-07-05,hpc-gpu-062,C,Mathematics,23.0,18.6,1410,333.0,59.1,0,0,0,3,44.2,4,0,67.0
2025-07-05,hpc-gpu-065,C,Physics,74.0,56.7,1410,361.0,84.1,0,0,0,2,142.1,3,0,100.0
2025-07-05,hpc-gpu-066,C,Biology,59.6,54.7,1410,367.0,84.3,0,0,0,0,114.4,0,1,102.0
2025-07-05,hpc-gpu-071,C,Engineering,68.7,48.8,1410,383.0,78.0,0,0,0,9,131.8,4,1,95.0
2025-07-05,hpc-gpu-072,C,Medical Research,62.6,52.4,1410,332.0,75.5,0,0,0,11,120.2,2,1,92.0
2025-07-06,hpc-gpu-063,C,Engineering,61.2,51.3,1410,372.0,75.3,0,0,0,10,117.5,3,1,91.0
2025-07-07,hpc-gpu-049,C,Physics,97.0,87.3,1169,361.0,92.9,0,0,0,7,186.2,0,0,117.0
2025-07-07,hpc-gpu-050,C,Biology,68.8,58.7,1410,371.0,79.3,0,0,0,9,132.1,0,0,94.0
2025-07-07,hpc-gpu-051,C,Chemistry,74.9,47.2,1410,400.0,83.2,0,0,0,7,143.7,0,0,100.0
2025-07-07,hpc-gpu-052,C,Computer Science,75.6,66.1,1410,371.0,90.4,0,0,0,9,145.2,0,1,110.0
2025-07-07,hpc-gpu-055,C,Engineering,95.9,87.2,1234,373.0,94.2,0,0,0,2,184.1,1,0,118.0
2025-07-07,hpc-gpu-056,C,Medical Research,97.9,68.7,1132,387.0,88.3,0,0,0,8,188.0,1,0,111.0
2025-07-07,hpc-gpu-057,C,Physics,86.0,53.5,1126,389.0,86.7,0,0,0,1,165.1,2,1,105.0
2025-07-07,hpc-gpu-059,C,Chemistry,73.5,63.3,1410,372.0,81.1,0,0,0,3,141.1,4,0,97.0
2025-07-07,hpc-gpu-060,C,Computer Science,75.1,48.5,1410,360.0,82.4,0,0,0,2,144.2,3,0,100.0
2025-07-07,hpc-gpu-063,C,Engineering,93.1,68.5,1312,394.0,91.0,0,0,0,0,178.7,0,1,111.0
2025-07-07,hpc-gpu-064,C,Medical Research,100.0,92.3,1337,387.0,88.3,0,0,0,5,192.0,3,0,109.0
2025-07-07,hpc-gpu-065,C,Physics,100.0,94.2,1313,413.0,95.6,0,0,0,2,192.0,0,0,120.0
2025-07-07,hpc-gpu-066,C,Biology,93.3,64.9,1151,377.0,89.5,0,0,0,11,179.1,3,0,111.0
2025-07-07,hpc-gpu-067,C,Chemistry,68.6,57.1,1410,347.0,78.5,0,0,0,5,131.8,3,0,97.0
2025-07-07,hpc-gpu-068,C,Computer Science,80.3,56.1,1410,357.0,86.8,0,0,0,7,154.1,2,0,109.0
2025-07-07,hpc-gpu-069,C,Earth Sciences,65.1,55.4,1410,365.0,81.0,0,0,0,11,125.0,3,0,101.0
2025-07-07,hpc-gpu-071,C,Engineering,81.9,60.6,1410,396.0,90.4,0,0,0,3,157.2,3,1,111.0
2025-07-07,hpc-gpu-072,C,Medical Research,89.9,78.4,1111,381.0,86.4,0,0,0,4,172.5,1,1,107.0
2025-07-08,hpc-gpu-049,C,Physics,100.0,72.0,1200,419.0,91.1,0,0,0,6,192.0,3,0,113.0
2025-07-08,hpc-gpu-050,C,Biology,100.0,65.1,1182,387.0,98.0,0,0,0,11,192.0,4,1,124.0
2025-07-08,hpc-gpu-051,C,Chemistry,84.5,63.0,1410,391.0,88.4,0,0,0,10,162.2,1,1,111.0
2025-07-08,hpc-gpu-052,C,Computer Science,68.7,42.5,1410,373.0,80.0,0,0,0,0,131.8,1,0,97.0
2025-07-08,hpc-gpu-053,C,Earth Sciences,64.3,40.4,1410,386.0,77.2,0,0,0,9,123.5,3,0,91.0
2025-07-08,hpc-gpu-055,C,Engineering,80.7,53.1,1410,391.0,86.9,0,0,0,5,154.9,2,0,109.0
2025-07-08,hpc-gpu-056,C,Medical Research,88.5,54.0,1164,398.0,80.2,0,0,0,4,169.9,2,0,99.0
2025-07-08,hpc-gpu-057,C,Physics,94.4,88.8,1319,367.0,91.4,0,0,0,7,181.3,2,1,115.0
2025-07-08,hpc-gpu-058,C,Biology,84.4,72.3,1410,369.0,86.0,0,0,0,11,162.1,1,0,108.0
2025-07-08,hpc-gpu-059,C,Chemistry,75.0,53.9,1410,379.0,81.1,0,0,0,8,144.1,0,0,96.0
2025-07-08,hpc-gpu-060,C,Computer Science,74.0,60.5,1410,359.0,79.7,0,0,0,4,142.1,2,1,94.0
2025-07-08,hpc-gpu-063,C,Engineering,70.4,66.0,1410,387.0,80.6,0,0,0,10,135.1,0,1,97.0
2025-07-08,hpc-gpu-064,C,Medical Research,77.5,65.5,1410,352.0,90.2,0,0,0,3,148.8,4,1,110.0
2025-07-08,hpc-gpu-065,C,Physics,89.4,77.6,1385,395.0,87.6,0,0,0,2,171.6,3,1,106.0
2025-07-08,hpc-gpu-066,C,Biology,82.0,53.7,1410,382.0,83.7,0,0,0,8,157.5,2,1,104.0
2025-07-08,hpc-gpu-067,C,Chemistry,75.7,57.5,1410,382.0,82.5,0,0,0,1,145.4,3,1,98.0
2025-07-08,hpc-gpu-068,C,Computer Science,74.9,52.7,1410,377.0,80.6,0,0,0,7,143.8,1,0,97.0
2025-07-08,hpc-gpu-071,C,Engineering,95.4,76.7,1122,393.0,95.5,0,0,0,2,183.2,4,0,118.0
2025-07-08,hpc-gpu-072,C,Medical Research,89.9,64.7,1260,383.0,90.9,0,0,0,5,172.7,0,0,110.0
2025-07-09,hpc-gpu-049,C,Physics,94.1,72.4,1305,380.0,89.0,0,0,0,6,180.6,2,1,111.0
2025-07-09,hpc-gpu-050,C,Biology,81.0,52.5,1410,386.0,90.3,0,0,0,6,155.4,4,0,114.0
2025-07-09,hpc-gpu-051,C,Chemistry,89.3,60.6,1112,376.0,89.8,0,0,0,3,171.4,3,1,113.0
2025-07-09,hpc-gpu-052,C,Computer Science,71.7,47.8,1410,369.0,81.4,0,0,0,8,137.7,1,1,99.0
2025-07-09,hpc-gpu-053,C,Earth Sciences,63.0,41.1,1410,401.0,78.0,0,0,0,2,121.0,1,0,92.0
2025-07-09,hpc-gpu-055,C,Engineering,93.2,84.5,1208,373.0,92.4,0,0,0,5,179.0,0,0,113.0
2025-07-09,hpc-gpu-056,C,Medical Research,97.5,84.2,1248,414.0,85.6,0,0,0,11,187.2,4,0,108.0
2025-07-09,hpc-gpu-057,C,Physics,100.0,88.1,1207,391.0,97.9,0,0,0,2,192.0,0,1,123.0
2025-07-09,hpc-gpu-058,C,Biology,87.2,71.0,1305,396.0,83.9,0,0,0,8,167.5,1,1,103.0
2025-07-09,hpc-gpu-059,C,Chemistry,91.8,84.1,1306,400.0,83.1,0,0,0,5,176.3,2,1,103.0
2025-07-09,hpc-gpu-060,C,Computer Science,69.3,52.2,1410,358.0,76.1,0,0,0,2,133.0,4,0,93.0
2025-07-09,hpc-gpu-063,C,Engineering,81.6,63.7,1410,387.0,83.4,0,0,0,5,156.6,1,0,102.0
2025-07-09,hpc-gpu-064,C,Medical Research,92.4,70.5,1186,388.0,90.5,0,0,0,9,177.4,3,1,110.0
2025-07-09,hpc-gpu-065,C,Physics,84.2,59.0,1410,394.0,87.8,0,0,0,2,161.6,1,0,109.0
2025-07-09,hpc-gpu-066,C,Biology,82.8,62.8,1410,379.0,79.4,0,0,0,3,159.0,1,0,95.0
2025-07-09,hpc-gpu-067,C,Chemistry,77.0,68.5,1410,394.0,80.4,0,0,0,0,147.9,3,0,96.0
2025-07-09,hpc-gpu-070,C,Mathematics,60.2,52.9,1410,344.0,72.6,0,0,0,8,115.5,2,0,86.0
2025-07-09,hpc-gpu-071,C,Engineering,90.5,83.8,1337,399.0,88.6,0,0,0,4,173.8,1,0,107.0
2025-07-09,hpc-gpu-072,C,Medical Research,94.1,69.2,1403,391.0,94.5,0,0,0,10,180.6,4,0,116.0
2025-07-10,hpc-gpu-049,C,Physics,93.7,80.9,1235,416.0,90.6,0,0,0,10,179.9,4,1,114.0
2025-07-10,hpc-gpu-050,C,Biology,96.6,72.7,1184,396.0,96.9,0,0,0,2,185.4,0,1,122.0
2025-07-10,hpc-gpu-051,C,Chemistry,69.8,53.6,1410,357.0,80.1,0,0,0,5,134.0,0,1,98.0
2025-07-10,hpc-gpu-052,C,Computer Science,70.0,57.9,1410,346.0,83.4,0,0,0,8,134.4,0,0,103.0
2025-07-10,hpc-gpu-053,C,Earth Sciences,56.2,35.6,1410,357.0,68.7,0,0,0,0,107.9,1,0,82.0
2025-07-10,hpc-gpu-055,C,Engineering,87.6,82.3,1290,349.0,91.4,0,0,0,5,168.1,1,0,113.0
2025-07-10,hpc-gpu-056,C,Medical Research,81.3,75.2,1410,399.0,85.3,0,0,0,9,156.0,0,0,104.0
2025-07-10,hpc-gpu-057,C,Physics,100.0,83.0,1395,386.0,90.7,0,0,0,7,192.0,0,0,115.0
2025-07-10,hpc-gpu-058,C,Biology,93.0,69.7,1299,393.0,87.2,0,0,0,6,178.6,3,1,109.0
2025-07-10,hpc-gpu-059,C,Chemistry,62.4,41.6,1410,340.0,80.1,0,0,0,5,119.8,0,1,94.0
2025-07-10,hpc-gpu-060,C,Computer Science,66.6,45.5,1410,369.0,76.7,0,0,0,7,127.9,3,1,93.0
2025-07-10,hpc-gpu-061,C,Earth Sciences,75.6,57.3,1410,367.0,81.2,0,0,0,7,145.2,2,0,100.0
2025-07-10,hpc-gpu-063,C,Engineering,98.0,69.0,1221,411.0,98.0,0,0,0,5,188.2,0,0,129.0
2025-07-10,hpc-gpu-064,C,Medical Research,88.1,56.6,1138,352.0,88.4,0,0,0,0,169.1,0,1,106.0
2025-07-10,hpc-gpu-065,C,Physics,99.3,84.8,1137,393.0,90.4,0,0,0,6,190.7,2,1,114.0
2025-07-10,hpc-gpu-066,C,Biology,91.8,80.4,1316,388.0,93.9,0,0,0,5,176.3,0,0,116.0
2025-07-10,hpc-gpu-068,C,Computer Science,81.7,76.8,1410,398.0,86.1,0,0,0,2,156.8,0,0,104.0
2025-07-10,hpc-gpu-069,C,Earth Sciences,49.7,32.3,1410,372.0,65.9,0,0,0,7,95.3,1,1,77.0
2025-07-10,hpc-gpu-071,C,Engineering,85.1,57.4,1325,379.0,86.9,0,0,0,1,163.5,1,0,106.0
2025-07-10,hpc-gpu-072,C,Medical Research,100.0,91.2,1240,409.0,97.5,0,0,0,8,192.0,2,1,123.0
2025-07-11,hpc-gpu-049,C,Physics,95.0,83.3,1189,388.0,94.4,0,0,0,4,182.4,2,1,117.0
2025-07-11,hpc-gpu-050,C,Biology,80.4,73.6,1410,380.0,85.4,0,0,0,4,154.3,0,0,104.0
2025-07-11,hpc-gpu-052,C,Computer Science,75.4,51.2,1410,383.0,82.1,0,0,0,9,144.8,4,1,100.0
2025-07-11,hpc-gpu-053,C,Earth Sciences,62.0,52.2,1410,362.0,76.2,0,0,0,1,119.0,1,0,93.0
2025-07-11,hpc-gpu-056,C,Medical Research,99.3,91.9,1322,409.0,96.7,0,0,0,7,190.7,0,1,120.0
2025-07-11,hpc-gpu-057,C,Physics,88.4,73.9,1259,399.0,93.6,0,0,0,9,169.8,1,0,118.0
2025-07-11,hpc-gpu-058,C,Biology,80.5,61.3,1410,380.0,85.4,0,0,0,10,154.6,3,0,107.0
2025-07-11,hpc-gpu-059,C,Chemistry,74.6,70.1,1410,355.0,79.9,0,0,0,11,143.3,4,1,99.0
2025-07-11,hpc-gpu-060,C,Computer Science,76.6,71.7,1410,376.0,88.3,0,0,0,2,147.0,2,0,108.0
2025-07-11,hpc-gpu-064,C,Medical Research,89.8,80.7,1189,418.0,93.2,0,0,0,11,172.4,2,1,115.0
2025-07-11,hpc-gpu-065,C,Physics,89.6,83.8,1183,393.0,80.7,0,0,0,4,172.0,4,1,100.0
2025-07-11,hpc-gpu-066,C,Biology,90.6,83.9,1366,384.0,94.4,0,0,0,4,173.9,4,1,118.0
2025-07-11,hpc-gpu-068,C,Computer Science,70.7,51.8,1410,404.0,79.4,0,0,0,9,135.7,3,1,97.0
2025-07-11,hpc-gpu-071,C,Engineering,90.6,72.3,1275,377.0,86.1,0,0,0,0,174.0,2,0,105.0
2025-07-11,hpc-gpu-072,C,Medical Research,83.4,76.9,1410,387.0,84.6,0,0,0,7,160.2,4,0,105.0
2025-07-12,hpc-gpu-049,C,Physics,72.8,53.0,1410,359.0,82.3,0,0,0,0,139.8,4,1,99.0
2025-07-12,hpc-gpu-050,C,Biology,63.6,42.8,1410,357.0,75.6,0,0,0,11,122.0,0,0,91.0
2025-07-12,hpc-gpu-051,C,Chemistry,74.0,55.6,1410,347.0,82.8,0,0,0,4,142.0,1,1,98.0
2025-07-12,hpc-gpu-059,C,Chemistry,65.9,60.2,1410,360.0,77.0,0,0,0,7,126.5,3,0,94.0
2025-07-12,hpc-gpu-064,C,Medical Research,63.3,52.1,1410,354.0,81.7,0,0,0,0,121.5,2,0,100.0
2025-07-13,hpc-gpu-055,C,Engineering,62.1,38.3,1410,365.0,74.6,0,0,0,2,119.2,1,1,91.0
2025-07-13,hpc-gpu-057,C,Physics,80.1,75.3,1410,381.0,88.4,0,0,0,1,153.7,4,0,106.0
2025-07-13,hpc-gpu-069,C,Earth Sciences,41.5,33.2,1410,320.0,75.3,0,0,0,1,79.7,1,0,87.0
2025-07-14,hpc-gpu-049,C,Physics,84.9,57.6,1410,382.0,85.6,0,0,0,5,163.0,3,0,106.0
2025-07-14,hpc-gpu-050,C,Biology,68.8,51.2,1410,369.0,80.6,0,0,0,9,132.1,3,0,96.0
2025-07-14,hpc-gpu-051,C,Chemistry,67.0,60.8,1410,356.0,88.0,0,0,0,8,128.6,4,0,107.0
2025-07-14,hpc-gpu-053,C,Earth Sciences,63.2,46.9,1410,367.0,79.9,0,0,0,6,121.3,4,0,96.0
2025-07-14,hpc-gpu-055,C,Engineering,84.4,53.9,1410,384.0,85.1,0,0,0,5,162.0,3,1,104.0
2025-07-14,hpc-gpu-056,C,Medical Research,90.2,72.4,1155,366.0,87.1,0,0,0,8,173.3,0,1,109.0
2025-07-14,hpc-gpu-057,C,Physics,100.0,69.3,1190,412.0,88.0,0,0,0,5,192.0,0,1,111.0
2025-07-14,hpc-gpu-058,C,Biology,81.6,73.2,1410,385.0,89.8,0,0,0,3,156.7,1,1,109.0
2025-07-14,hpc-gpu-059,C,Chemistry,92.1,70.4,1401,367.0,93.5,0,0,0,6,176.9,1,1,114.0
2025-07-14,hpc-gpu-060,C,Computer Science,85.9,53.6,1325,376.0,84.5,0,0,0,6,164.9,3,0,102.0
2025-07-14,hpc-gpu-063,C,Engineering,83.5,73.8,1410,377.0,84.5,0,0,0,1,160.4,2,0,104.0
2025-07-14,hpc-gpu-064,C,Medical Research,89.0,56.3,1181,378.0,86.9,0,0,0,1,170.9,1,0,108.0
2025-07-14,hpc-gpu-065,C,Physics,100.0,65.8,1371,393.0,96.8,0,0,0,1,192.0,3,0,120.0
2025-07-14,hpc-gpu-066,C,Biology,82.6,67.2,1410,364.0,87.1,0,0,0,2,158.6,0,0,105.0
2025-07-14,hpc-gpu-067,C,Chemistry,88.3,54.3,1147,366.0,88.4,0,0,0,8,169.5,4,0,107.0
2025-07-14,hpc-gpu-068,C,Computer Science,66.9,46.3,1410,353.0,83.7,0,0,0,0,128.5,1,0,100.0
2025-07-14,hpc-gpu-071,C,Engineering,84.5,65.3,1410,366.0,85.9,0,0,0,5,162.3,1,1,104.0
2025-07-14,hpc-gpu-072,C,Medical Research,74.1,50.1,1410,391.0,77.2,0,0,0,10,142.2,0,0,95.0
2025-07-15,hpc-gpu-049,C,Physics,86.6,63.5,1399,381.0,84.4,0,0,0,8,166.2,4,0,105.0
2025-07-15,hpc-gpu-050,C,Biology,93.8,84.6,1218,419.0,87.4,0,0,0,10,180.1,1,0,105.0
2025-07-15,hpc-gpu-051,C,Chemistry,80.6,74.8,1410,369.0,84.3,0,0,0,7,154.7,1,1,102.0
2025-07-15,hpc-gpu-052,C,Computer Science,65.1,44.5,1410,360.0,81.2,0,0,0,2,124.9,4,1,101.0
2025-07-15,hpc-gpu-055,C,Engineering,100.0,64.4,1280,387.0,93.7,0,0,0,8,192.0,2,1,119.0
2025-07-15,hpc-gpu-056,C,Medical Research,76.3,68.4,1410,373.0,92.2,0,0,0,9,146.4,1,1,114.0
2025-07-15,hpc-gpu-057,C,Physics,91.0,76.3,1143,395.0,92.4,0,0,0,3,174.7,1,0,118.0
2025-07-15,hpc-gpu-058,C,Biology,84.6,61.6,1410,389.0,80.9,0,0,0,11,162.5,3,1,100.0
2025-07-15,hpc-gpu-059,C,Chemistry,73.3,68.7,1410,377.0,83.5,0,0,0,5,140.7,4,1,101.0
2025-07-15,hpc-gpu-060,C,Computer Science,74.2,52.2,1410,352.0,82.8,0,0,0,7,142.4,2,0,100.0
2025-07-15,hpc-gpu-061,C,Earth Sciences,69.9,51.6,1410,363.0,77.3,0,0,0,3,134.2,3,1,92.0
2025-07-15,hpc-gpu-063,C,Engineering,96.2,58.8,1401,378.0,90.7,0,0,0,8,184.7,3,0,114.0
