Department,PI_Name,Total_GPU_Hours_FY2026,Total_CPU_Hours_FY2026,Storage_Used_TB,Peak_Concurrent_GPUs,Avg_Queue_Wait_Min,Avg_Job_Duration_Hr,Total_Jobs,Job_Success_PCT,Satisfaction,Budget_Contribution,_Sheet,Month,Month_Num,GPU_Hours,CPU_Hours,Jobs,Avg_Wait_Min,Peak_GPUs,Storage_Delta_TB,Avg_GPU_Util_PCT,Avg_Mem_Util_PCT,Preempted_Jobs,Failed_Jobs,Energy_kWh,Min_GPUs_Per_Node,Min_GPU_Memory_GB,Min_Network_Gbps,Min_Storage_GBps,Special_Requirements,Preferred_Priority,Files_M,New_Data_TB,Deleted_TB,Avg_File_KB,Software,Avg_Monthly_Sessions,Peak_Concurrent,Avg_Session_Hours,GPU_Hours_Monthly,CPU_Hours_Monthly,Avg_Wait_GPU_Min,Avg_Wait_CPU_Min,P95_Wait_GPU_Min,P99_Wait_GPU_Min,Jobs_Timed_Out,Jobs_Preempted,Category,Avg_Runtime_Hr,Avg_GPU_Util,Avg_Mem_GB,Avg_IB_GBps,Avg_Energy_kWh,Response_ID,Role,Top_Issue,Comment,Date,User_ID,Jobs_Submitted,Jobs_Completed,Jobs_Failed,Max_Wait_Min,GPU_Util_Avg_PCT,Mem_Used_Avg_GB,Storage_Read_GB,Storage_Write_GB,IO_Wait_PCT,Network_GB,Overall_Score,Queue_Wait_Score,Storage_Score,Support_Score,GPU_Avail_Score,Comments,Sessions,Peak_Memory_GB
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,196.0,10.0,5.2,209.0,9900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,10.0,40.0,13.6,972.0,403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,109.0,25.0,1.9,860.0,4147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,64.0,40.0,12.9,1633.0,2574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,32.0,49.0,22.8,1750.0,3511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,52.0,34.0,12.8,1360.0,7375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,126.0,5.0,4.5,1299.0,8473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,66.0,28.0,6.4,3942.0,1939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,35.0,15.0,19.2,4626.0,3040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,146.0,30.0,20.0,2052.0,6554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,13.0,34.0,0.6,1635.0,7438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,193.0,41.0,3.1,284.0,2513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,108.0,4.0,12.6,1269.0,6435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,195.0,4.0,23.6,2778.0,8317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ParaView,95.0,34.0,5.3,1025.0,5822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VMD,45.0,43.0,9.6,1472.0,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Schrodinger,160.0,26.0,19.9,3510.0,4162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,R,118.0,21.0,3.8,120.0,4770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Jupyter,129.0,21.0,7.7,968.0,6272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,STATA,43.0,33.0,1.5,4738.0,6595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CUDA Toolkit,20.0,17.0,17.7,2505.0,3984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Intel OneAPI,170.0,46.0,19.7,3852.0,2527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ARM Forge,68.0,49.0,4.3,361.0,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TotalView,146.0,41.0,18.2,2754.0,1572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GenomicsToolkit,83.0,6.0,11.6,1803.0,8372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Custom CUDA,2.0,25.0,20.9,3739.0,3088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,37.0,37.0,21.8,2361.0,1334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,4.0,39.0,4.2,746.0,5008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,108.0,30.0,20.7,1719.0,2302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,32.0,42.0,4.9,3485.0,1889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,146.0,37.0,2.8,4682.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,127.0,41.0,17.5,1786.0,7352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,63.0,36.0,16.8,2342.0,8191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,162.0,33.0,3.6,327.0,9643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,42.0,22.0,17.9,4554.0,1508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,91.0,8.0,4.0,3186.0,3339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,179.0,36.0,12.3,3817.0,7289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,68.0,8.0,5.4,2012.0,9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,167.0,35.0,2.1,3679.0,4010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,44.0,33.0,1.6,4378.0,1705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,66.0,7.0,5.1,1004.0,6067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,29.0,31.0,17.9,3764.0,1837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,68.0,25.0,12.5,2444.0,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,168.0,8.0,18.5,671.0,9595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ParaView,1.0,47.0,13.3,1714.0,2695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VMD,155.0,6.0,13.3,843.0,1725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Schrodinger,89.0,4.0,14.7,109.0,9697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,R,141.0,25.0,18.4,3042.0,2936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Jupyter,143.0,3.0,10.3,2041.0,8402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,STATA,183.0,35.0,20.4,2375.0,6103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CUDA Toolkit,11.0,24.0,21.8,2301.0,9881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Intel OneAPI,129.0,34.0,3.3,289.0,5788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ARM Forge,141.0,6.0,14.8,1370.0,8474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TotalView,95.0,3.0,17.1,2755.0,5684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GenomicsToolkit,166.0,34.0,23.8,4206.0,6504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Custom CUDA,128.0,24.0,7.2,3488.0,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,93.0,4.0,12.7,1943.0,4099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,73.0,47.0,12.2,349.0,7108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,159.0,45.0,3.5,4508.0,7706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,37.0,36.0,1.9,2234.0,2062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,118.0,42.0,23.8,4415.0,6718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,58.0,2.0,1.3,2512.0,4919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,8.0,20.0,19.6,4876.0,5514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,102.0,17.0,15.2,2946.0,5836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,53.0,28.0,21.1,3065.0,9394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,1.0,40.0,19.6,4533.0,4147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,178.0,4.0,16.8,9.0,6563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,108.0,10.0,16.4,673.0,7834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,83.0,44.0,21.6,43.0,7426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,48.0,35.0,15.5,1894.0,7876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,12.0,45.0,3.4,1862.0,1333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,54.0,40.0,21.7,9.0,6799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,112.0,12.0,21.2,2714.0,4646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,82.0,5.0,19.0,3806.0,7736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ParaView,112.0,38.0,1.7,4964.0,4305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VMD,30.0,43.0,2.3,3923.0,6184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Schrodinger,95.0,29.0,3.1,844.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,R,79.0,24.0,1.3,4434.0,6952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Jupyter,189.0,4.0,14.3,4809.0,2364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,STATA,6.0,30.0,15.3,1418.0,1886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CUDA Toolkit,48.0,46.0,21.5,1877.0,8671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Intel OneAPI,196.0,37.0,21.7,4145.0,9739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ARM Forge,100.0,23.0,15.4,3084.0,947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TotalView,156.0,30.0,6.9,3902.0,5578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GenomicsToolkit,106.0,27.0,23.3,3320.0,2557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Custom CUDA,135.0,35.0,9.1,4308.0,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,84.0,20.0,3.1,4872.0,3918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,176.0,8.0,23.8,4630.0,6968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,138.0,38.0,11.0,4419.0,8376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,119.0,43.0,4.0,2675.0,2897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,VASP,142.0,20.0,15.8,2778.0,9032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,TensorFlow,61.0,41.0,12.2,55.0,3462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,PyTorch,44.0,39.0,13.6,1006.0,5103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,RELION,117.0,34.0,17.4,1781.0,1089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,WRF,67.0,30.0,11.8,3369.0,477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Mathematica,74.0,30.0,23.7,4734.0,3019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Abaqus,187.0,5.0,9.0,1838.0,6670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,COMSOL,77.0,17.0,19.2,4518.0,2220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,LAMMPS,55.0,18.0,12.7,1689.0,9548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Amber,41.0,42.0,7.9,4534.0,9629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,NAMD,138.0,28.0,7.6,2121.0,9972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,OpenFOAM,162.0,14.0,13.0,1441.0,7255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,CP2K,24.0,31.0,20.7,422.0,8412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Quantum ESPRESSO,173.0,34.0,12.1,4640.0,3792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
