Category,Subcategory,FY2025_Actual,FY2026_Estimated,FY2027_Proposed,Notes,_Sheet,Item,Qty,Unit_Cost,Extended,Vendor,Quote,Lead_Weeks,Software,Type,Current,Budget,Renewal,Position,Salary,Benefits_30,Total,Month,IT_kWh,Cooling_kWh,Total_kWh,Demand_kW,Blended_Rate,Energy_Cost,Demand_Charge,Distribution,Total_Monthly,Year,FY,HW_Amortization,Power,Cooling,Staffing,Maintenance,Facility_Mods,Training,Contingency,Discount_Factor,Undiscounted_Total,NPV_Total,Budgeted,Actual,Variance,Accrued,Part_Number,Quantity,Extended_Cost,Delivery_Status,PO_Number,Invoice,Seats_Current,Seats_Used,Peak_Concurrent,License_Type,Fiscal_Year,Month_Num,Variance_PCT,GL_Account,Cost_Center,Fund_Code,Approval_Status,NPV_Discount,NPV_Monthly,FA_Rate_Applied,Direct_Cost_Base,Depreciation_Period_Years,Original_Cost,IT_Load_kW,Rate_per_kWh,Hours,kWh
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Dec,,,,,,,,,,,,,,,,,,,,,,,137366.67,121344.11,0.0,20503.69,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,20583.33,17565.94,0.0,3022.99,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,20583.33,17843.51,0.0,2302.9,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,20583.33,18221.56,0.0,3394.62,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,20583.33,22102.66,0.0,3259.1,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,20583.33,23437.25,0.0,2829.94,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,20583.33,19260.11,0.0,3846.2,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,20583.33,18876.54,0.0,4040.97,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,20583.33,17570.89,0.0,4054.67,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,20583.33,17762.35,0.0,3892.6,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Oct,,,,,,,,,,,,,,,,,,,,,,,20583.33,20754.39,0.0,4102.19,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Nov,,,,,,,,,,,,,,,,,,,,,,,20583.33,17951.53,0.0,3198.35,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Dec,,,,,,,,,,,,,,,,,,,,,,,20583.33,23481.28,0.0,3135.04,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,4000.0,4155.28,0.0,678.3,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,4000.0,3945.45,0.0,651.02,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,4000.0,4101.18,0.0,760.46,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,4000.0,3454.54,0.0,512.39,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,4000.0,4540.49,0.0,756.11,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,4000.0,3946.79,0.0,648.05,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,4000.0,3732.86,0.0,475.25,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,4000.0,3956.44,0.0,541.34,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,4000.0,4100.39,0.0,431.09,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Oct,,,,,,,,,,,,,,,,,,,,,,,4000.0,4569.27,0.0,794.48,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Nov,,,,,,,,,,,,,,,,,,,,,,,4000.0,4237.79,0.0,614.44,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Dec,,,,,,,,,,,,,,,,,,,,,,,4000.0,3771.43,0.0,725.52,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Facilities,Cooling Upgrades,,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,23333.33,24228.64,0.0,2524.1,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Software Licensing,Gaussian 16,,,,,Software_Detail,,,550.0,,Gaussian Inc,,0.0,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,3666.67,3508.45,,,LIC-GAUS,80.0,44000.0,Active,PO-SW-412,INV-543316,80.0,60.0,37.0,Site,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,16791.67,16476.35,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,16791.67,17041.56,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,16791.67,16809.95,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,16791.67,16880.69,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,16791.67,16888.7,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,16791.67,17006.46,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,16791.67,16679.77,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,16791.67,16948.2,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,16791.67,16810.86,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Oct,,,,,,,,,,,,,,,,,,,,,,,16791.67,16988.73,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Nov,,,,,,,,,,,,,,,,,,,,,,,16791.67,17121.15,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Director,,,,,Staffing_Detail,,,12916.67,,Internal,,0.0,,,,,,,,,,Dec,,,,,,,,,,,,,,,,,,,,,,,16791.67,16590.6,,,FTE-DIRE,1.0,155000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,39758.22,40544.88,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,39758.22,39105.89,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,39758.22,38966.75,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,39758.22,39033.29,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,39758.22,39506.61,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,39758.22,39969.59,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,39758.22,39072.84,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,39758.22,38972.07,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,39758.22,40453.34,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Oct,,,,,,,,,,,,,,,,,,,,,,,39758.22,40270.19,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Nov,,,,,,,,,,,,,,,,,,,,,,,39758.22,40249.93,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Sr SysAdmin,,,,,Staffing_Detail,,,10194.42,,Internal,,0.0,,,,,,,,,,Dec,,,,,,,,,,,,,,,,,,,,,,,39758.22,40369.59,,,FTE-SR S,3.0,366999.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,20258.33,20420.43,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,20258.33,19937.77,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,20258.33,20176.57,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,20258.33,20439.16,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,20258.33,20080.33,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,20258.33,20410.19,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,20258.33,19873.02,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,20258.33,20101.24,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,20258.33,20298.15,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Oct,,,,,,,,,,,,,,,,,,,,,,,20258.33,20365.37,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Nov,,,,,,,,,,,,,,,,,,,,,,,20258.33,20320.76,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,SysAdmin,,,,,Staffing_Detail,,,7791.67,,Internal,,0.0,,,,,,,,,,Dec,,,,,,,,,,,,,,,,,,,,,,,20258.33,20418.58,,,FTE-SYSA,2.0,187000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,12458.33,12212.2,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,12458.33,12259.47,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,12458.33,12642.19,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,12458.33,12548.9,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,12458.33,12265.44,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,12458.33,12628.8,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,12458.33,12329.88,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,12458.33,12447.5,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,12458.33,12281.52,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Oct,,,,,,,,,,,,,,,,,,,,,,,12458.33,12563.04,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Nov,,,,,,,,,,,,,,,,,,,,,,,12458.33,12541.48,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Storage Admin,,,,,Staffing_Detail,,,9583.33,,Internal,,0.0,,,,,,,,,,Dec,,,,,,,,,,,,,,,,,,,,,,,12458.33,12314.37,,,FTE-STOR,1.0,115000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,12783.33,12969.15,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,12783.33,12732.87,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,12783.33,12677.24,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,12783.33,12605.56,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,12783.33,12663.77,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,12783.33,12538.93,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,12783.33,12825.91,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,12783.33,12958.33,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Network Engineer,,,,,Staffing_Detail,,,9833.33,,Internal,,0.0,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,12783.33,12808.38,,,FTE-NETW,1.0,118000.0,Active,,Payroll,,,,,,,,,,,,,,48.0,,,,,,,
