Config_Type,Name,Parameter,Value,Description,Last_Modified,Modified_By,Effective_Date,Change_Ticket
Account,MedRes,GrpTRESRunMins,"cpu=2000000,gres/gpu=500000",,2025-01-15,admin,2025-01-15,CHG-2025-0456
Association,user001,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user003,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user005,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user007,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user009,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user011,MaxTRES,"cpu=128,gres/gpu=64",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user013,MaxTRES,"cpu=128,gres/gpu=64",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user015,MaxTRES,"cpu=128,gres/gpu=16",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user017,MaxTRES,"cpu=128,gres/gpu=8",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user019,MaxTRES,"cpu=256,gres/gpu=16",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user021,Account,Physics,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user023,Account,MedRes,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user025,Account,Physics,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user027,Account,Chemistry,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user029,Account,Engineering,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user030,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user032,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user034,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user036,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user038,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user040,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user042,MaxJobs,50,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user044,MaxJobs,20,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user046,MaxJobs,100,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user048,MaxJobs,20,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user050,MaxJobs,20,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user052,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user054,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user056,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user058,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user060,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user062,MaxTRES,"cpu=64,gres/gpu=64",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user064,MaxTRES,"cpu=256,gres/gpu=32",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user066,MaxTRES,"cpu=128,gres/gpu=8",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user068,MaxTRES,"cpu=128,gres/gpu=64",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user070,MaxTRES,"cpu=256,gres/gpu=32",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user072,Account,Engineering,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user074,Account,Chemistry,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user076,Account,CS,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user078,Account,Physics,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user080,Account,Math,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user081,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user083,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user085,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user087,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user089,AdminLevel,,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user091,MaxJobs,50,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user093,MaxJobs,20,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user095,MaxJobs,50,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user097,MaxJobs,50,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user099,MaxJobs,50,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user101,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user103,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user105,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user107,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user109,DefaultQOS,normal,,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user111,MaxTRES,"cpu=192,gres/gpu=64",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user113,MaxTRES,"cpu=256,gres/gpu=32",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user115,MaxTRES,"cpu=64,gres/gpu=32",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user117,MaxTRES,"cpu=128,gres/gpu=64",,2025-03-01,admin,2025-03-01,CHG-2025-0789
Association,user119,MaxTRES,"cpu=64,gres/gpu=64",,2025-03-01,admin,2025-03-01,CHG-2025-0789
NodeConfig,hpc-gpu-001,Features,"gpu_a100,ib_hdr200,rack_rowA,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-003,Features,"gpu_a100,ib_hdr200,rack_rowA,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-005,Features,"gpu_a100,ib_hdr200,rack_rowA,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-007,Features,"gpu_a100,ib_hdr200,rack_rowA,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-009,Features,"gpu_a100,ib_hdr200,rack_rowA,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-010,State,MIXED,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-012,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-014,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-016,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-018,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-020,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-022,Weight,11,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-024,Weight,62,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-026,Weight,8,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-028,Weight,60,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-030,Weight,86,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-032,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-034,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-036,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-038,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-040,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-042,Gres,gpu:a100:8,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-044,Gres,gpu:a100:6,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-046,Gres,gpu:a100:6,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-048,Gres,gpu:a100:8,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-050,Gres,gpu:a100:8,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-052,Features,"gpu_a100,ib_hdr200,rack_rowC,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-054,Features,"gpu_a100,ib_hdr200,rack_rowC,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-056,Features,"gpu_a100,ib_hdr200,rack_rowC,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-058,Features,"gpu_a100,ib_hdr200,rack_rowC,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-060,Features,"gpu_a100,ib_hdr200,rack_rowC,mem_1tb,nvme_local,epyc7763",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-061,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-063,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-065,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-067,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-069,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-071,Weight,75,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-073,Weight,72,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-075,Weight,51,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-077,Weight,25,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-079,Weight,38,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-081,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-083,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-085,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-087,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-089,RealMemory,1048576,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-091,Gres,gpu:a100:8,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-093,Gres,gpu:a100:8,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-gpu-095,Gres,gpu:a100:8,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-001,Gres,(null),,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-003,Gres,(null),,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-005,Features,"cpu_only,ib_hdr100,rack_rowD,mem_512g,epyc7742",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-007,Features,"cpu_only,ib_hdr100,rack_rowD,mem_512g,epyc7742",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-009,Features,"cpu_only,ib_hdr100,rack_rowD,mem_512g,epyc7742",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-011,Features,"cpu_only,ib_hdr100,rack_rowD,mem_512g,epyc7742",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-013,Features,"cpu_only,ib_hdr100,rack_rowD,mem_512g,epyc7742",,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-014,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-016,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-018,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-020,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-022,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-024,State,IDLE,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-026,Weight,5,,2025-06-15,root,2025-06-15,CHG-2025-1234
NodeConfig,hpc-cpu-028,Weight,3,,2025-06-15,root,2025-06-15,CHG-2025-1234
Reservation,maint_Feb,Nodes,ALL,Feb monthly maintenance,2025-12-01,admin,2025-12-01,CHG-2025-2345
Reservation,maint_Apr,StartTime,2026-04-15T06:00:00,Apr monthly maintenance,2025-12-01,admin,2025-12-01,CHG-2025-2345
Reservation,maint_May,Users,"root,slurm",May monthly maintenance,2025-12-01,admin,2025-12-01,CHG-2025-2345
Reservation,maint_Jul,Duration,06:00:00,Jul monthly maintenance,2025-12-01,admin,2025-12-01,CHG-2025-2345
Reservation,maint_Aug,Accounts,ALL,Aug monthly maintenance,2025-12-01,admin,2025-12-01,CHG-2025-2345
Reservation,maint_Oct,Flags,"MAINT,IGNORE_JOBS",Oct monthly maintenance,2025-12-01,admin,2025-12-01,CHG-2025-2345
Reservation,maint_Dec,Duration,06:00:00,Dec monthly maintenance,2025-12-01,admin,2025-12-01,CHG-2025-2345
CgroupConfig,cgroup.conf,MaxRAMPercent,100,Max RAM percentage,2025-06-15,root,2025-06-15,CHG-2025-1234
JobHistory,user001,Month_Feb,"jobs=21,gpu_hours=337,cpu_hours=12275,wait_avg=112min,fail_rate=0.139",Feb usage statistics for Chemistry department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user001,Month_Dec,"jobs=449,gpu_hours=395,cpu_hours=14740,wait_avg=11min,fail_rate=0.023",Dec usage statistics for Chemistry department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user002,Month_Oct,"jobs=471,gpu_hours=1345,cpu_hours=2437,wait_avg=64min,fail_rate=0.028",Oct usage statistics for Engineering department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user003,Month_Aug,"jobs=259,gpu_hours=5469,cpu_hours=11984,wait_avg=113min,fail_rate=0.029",Aug usage statistics for MedRes department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user004,Month_Jun,"jobs=131,gpu_hours=1464,cpu_hours=16548,wait_avg=55min,fail_rate=0.12",Jun usage statistics for CS department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user005,Month_Mar,"jobs=126,gpu_hours=9950,cpu_hours=10187,wait_avg=93min,fail_rate=0.112",Mar usage statistics for Math department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user006,Month_Jan,"jobs=305,gpu_hours=7153,cpu_hours=1689,wait_avg=5min,fail_rate=0.132",Jan usage statistics for Biology department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user006,Month_Nov,"jobs=389,gpu_hours=7772,cpu_hours=13606,wait_avg=34min,fail_rate=0.106",Nov usage statistics for Biology department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user007,Month_Sep,"jobs=487,gpu_hours=897,cpu_hours=10208,wait_avg=47min,fail_rate=0.061",Sep usage statistics for MedRes department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user008,Month_Jul,"jobs=351,gpu_hours=1712,cpu_hours=12870,wait_avg=85min,fail_rate=0.083",Jul usage statistics for Chemistry department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user009,Month_Apr,"jobs=232,gpu_hours=6088,cpu_hours=18698,wait_avg=118min,fail_rate=0.131",Apr usage statistics for Biology department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user010,Month_Feb,"jobs=118,gpu_hours=3565,cpu_hours=6390,wait_avg=100min,fail_rate=0.043",Feb usage statistics for Engineering department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user010,Month_Dec,"jobs=419,gpu_hours=8482,cpu_hours=18317,wait_avg=109min,fail_rate=0.048",Dec usage statistics for Engineering department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user011,Month_Oct,"jobs=231,gpu_hours=5406,cpu_hours=3646,wait_avg=87min,fail_rate=0.042",Oct usage statistics for Chemistry department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user012,Month_Aug,"jobs=90,gpu_hours=9978,cpu_hours=12515,wait_avg=41min,fail_rate=0.061",Aug usage statistics for CS department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user013,Month_May,"jobs=318,gpu_hours=1643,cpu_hours=17989,wait_avg=89min,fail_rate=0.06",May usage statistics for Math department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user014,Month_Mar,"jobs=256,gpu_hours=9004,cpu_hours=4114,wait_avg=111min,fail_rate=0.132",Mar usage statistics for MedRes department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user015,Month_Jan,"jobs=354,gpu_hours=7732,cpu_hours=15587,wait_avg=69min,fail_rate=0.146",Jan usage statistics for Math department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user015,Month_Nov,"jobs=422,gpu_hours=3287,cpu_hours=19867,wait_avg=91min,fail_rate=0.143",Nov usage statistics for Math department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user016,Month_Sep,"jobs=148,gpu_hours=9223,cpu_hours=14758,wait_avg=76min,fail_rate=0.134",Sep usage statistics for CS department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user017,Month_Jun,"jobs=315,gpu_hours=1016,cpu_hours=4944,wait_avg=38min,fail_rate=0.035",Jun usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user018,Month_Apr,"jobs=194,gpu_hours=1930,cpu_hours=8087,wait_avg=45min,fail_rate=0.057",Apr usage statistics for Chemistry department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user019,Month_Feb,"jobs=165,gpu_hours=4809,cpu_hours=10868,wait_avg=90min,fail_rate=0.051",Feb usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user019,Month_Dec,"jobs=273,gpu_hours=1398,cpu_hours=17675,wait_avg=109min,fail_rate=0.065",Dec usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user020,Month_Oct,"jobs=24,gpu_hours=9186,cpu_hours=12827,wait_avg=111min,fail_rate=0.145",Oct usage statistics for EarthSci department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user021,Month_Jul,"jobs=301,gpu_hours=9170,cpu_hours=7941,wait_avg=109min,fail_rate=0.029",Jul usage statistics for Chemistry department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user022,Month_May,"jobs=290,gpu_hours=8354,cpu_hours=9405,wait_avg=74min,fail_rate=0.066",May usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user023,Month_Mar,"jobs=81,gpu_hours=3713,cpu_hours=4646,wait_avg=33min,fail_rate=0.038",Mar usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user024,Month_Jan,"jobs=442,gpu_hours=3368,cpu_hours=10699,wait_avg=95min,fail_rate=0.122",Jan usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user024,Month_Nov,"jobs=123,gpu_hours=2515,cpu_hours=4278,wait_avg=46min,fail_rate=0.061",Nov usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user025,Month_Aug,"jobs=199,gpu_hours=479,cpu_hours=18711,wait_avg=19min,fail_rate=0.131",Aug usage statistics for EarthSci department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user026,Month_Jun,"jobs=441,gpu_hours=927,cpu_hours=11118,wait_avg=10min,fail_rate=0.093",Jun usage statistics for Engineering department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user027,Month_Apr,"jobs=438,gpu_hours=8209,cpu_hours=14116,wait_avg=109min,fail_rate=0.076",Apr usage statistics for CS department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user028,Month_Feb,"jobs=452,gpu_hours=1565,cpu_hours=4971,wait_avg=5min,fail_rate=0.124",Feb usage statistics for Engineering department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user028,Month_Dec,"jobs=227,gpu_hours=4263,cpu_hours=11182,wait_avg=99min,fail_rate=0.138",Dec usage statistics for Engineering department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user029,Month_Sep,"jobs=231,gpu_hours=7643,cpu_hours=12326,wait_avg=26min,fail_rate=0.052",Sep usage statistics for CS department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user030,Month_Jul,"jobs=339,gpu_hours=8676,cpu_hours=10954,wait_avg=117min,fail_rate=0.05",Jul usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user031,Month_May,"jobs=406,gpu_hours=1240,cpu_hours=12553,wait_avg=7min,fail_rate=0.116",May usage statistics for EarthSci department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user032,Month_Mar,"jobs=90,gpu_hours=6710,cpu_hours=7438,wait_avg=94min,fail_rate=0.068",Mar usage statistics for MedRes department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user033,Month_Jan,"jobs=183,gpu_hours=1761,cpu_hours=7682,wait_avg=64min,fail_rate=0.073",Jan usage statistics for Math department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user033,Month_Nov,"jobs=35,gpu_hours=1889,cpu_hours=3570,wait_avg=57min,fail_rate=0.103",Nov usage statistics for Math department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user034,Month_Aug,"jobs=257,gpu_hours=7238,cpu_hours=10517,wait_avg=28min,fail_rate=0.063",Aug usage statistics for Physics department,2026-06-30,slurmdbd,2026-06-30,AUTO
JobHistory,user035,Month_Jun,"jobs=458,gpu_hours=3176,cpu_hours=8918,wait_avg=69min,fail_rate=0.105",Jun usage statistics for Chemistry department,2026-06-30,slurmdbd,2026-06-30,AUTO
