Record_Type,Category,Subcategory,Fiscal_Year,Month,Month_Num,Budgeted_Amount,Actual_Amount,Variance,Variance_PCT,Accrued,Committed,Encumbered,GL_Account,Cost_Center,Fund_Code,PO_Number,Invoice_Number,Approval_Status,Notes
Budget,Software Licensing,TotalView,FY2025,Aug,8,4133.33,3497.44,-635.89,-15.4,362.62,3200.42,114.68,69940,CC-WHPC-145,F-6724,PO-2025-9873,INV-364680,Approved,
Budget,Software Licensing,Other Software,FY2025,Jun,6,7200.0,8191.64,991.64,13.8,1096.62,7927.37,988.59,65085,CC-WHPC-165,F-8362,PO-2025-8209,INV-937194,Approved,
Budget,Staffing,Existing FTE,FY2025,Mar,3,109893.33,128062.12,18168.79,16.5,18097.16,134246.21,8361.76,69465,CC-WHPC-112,F-9090,,Pending,Approved,
Budget,Staffing,Migration Staff,FY2025,Jan,1,16466.67,19353.77,2887.11,17.5,2319.26,18720.59,4414.78,61885,CC-WHPC-149,F-3144,,INV-417585,Pending,
Budget,Staffing,Migration Staff,FY2025,Oct,10,16466.67,19359.04,2892.37,17.6,2979.32,19750.14,3146.03,63364,CC-WHPC-170,F-8619,,Pending,Approved,
Budget,Staffing,Training,FY2025,Aug,8,3200.0,3740.1,540.1,16.9,723.78,3520.77,194.49,63524,CC-WHPC-192,F-7533,,Pending,Approved,
Budget,Facilities,Electricity,FY2025,May,5,32333.33,31900.87,-432.46,-1.3,3811.04,28757.86,6237.74,69792,CC-WHPC-128,F-7436,,Pending,Approved,
Budget,Facilities,Cooling Water,FY2025,Mar,3,5200.0,4699.83,-500.17,-9.6,607.27,4767.19,101.57,65749,CC-WHPC-192,F-2264,,Pending,Approved,
Budget,Facilities,Cooling Water,FY2025,Dec,12,5200.0,5496.25,296.25,5.7,593.98,5395.32,414.76,66093,CC-WHPC-102,F-9858,,INV-984120,Approved,
Budget,Facilities,Building Maintenance,FY2025,Oct,10,6333.33,6033.94,-299.4,-4.7,957.59,5597.08,1221.24,66467,CC-WHPC-137,F-6935,,INV-926432,Approved,
Budget,Facilities,Electrical Upgrades,FY2025,Jul,7,23333.33,20329.45,-3003.88,-12.9,3205.9,21341.15,819.4,66370,CC-WHPC-132,F-9487,,INV-611934,Approved,
Budget,Facilities,Cooling Upgrades,FY2025,May,5,18666.67,18952.01,285.34,1.5,3082.99,19192.63,542.09,69286,CC-WHPC-163,F-1270,,INV-510786,Approved,
Budget,Maintenance,HW Support Agreement,FY2025,Feb,2,21333.33,21552.16,218.83,1.0,2431.08,20138.57,5049.98,68598,CC-WHPC-168,F-2637,,Pending,Approved,
Budget,Maintenance,HW Support Agreement,FY2025,Nov,11,21333.33,18586.79,-2746.55,-12.9,1956.78,17014.21,2060.33,62808,CC-WHPC-149,F-9682,,INV-644858,Approved,
Budget,Maintenance,Contingency 15%,FY2025,Sep,9,17000.0,19066.45,2066.45,12.2,2919.16,18011.11,3658.99,69762,CC-WHPC-174,F-6374,,INV-307077,Pending,
Budget,Hardware Capital,Compute Nodes,FY2026,Jun,6,880000.0,739543.85,-140456.15,-16.0,75269.26,749967.27,114389.99,69652,CC-WHPC-120,F-5774,PO-2026-5865,Pending,Approved,
Budget,Hardware Capital,Storage System,FY2026,Apr,4,142018.33,153377.56,11359.23,8.0,29024.64,144054.88,30531.57,63897,CC-WHPC-162,F-9496,PO-2026-7385,Pending,Approved,
Budget,Hardware Capital,Network Infrastructure,FY2026,Jan,1,28000.0,28351.87,351.87,1.3,5235.78,25876.79,5291.64,61898,CC-WHPC-107,F-2936,PO-2026-8233,INV-458996,Approved,
Budget,Hardware Capital,Network Infrastructure,FY2026,Nov,11,28000.0,28930.4,930.4,3.3,3156.09,26679.77,5795.97,65043,CC-WHPC-109,F-3564,PO-2026-5963,INV-721537,Approved,
Budget,Hardware Capital,Rack Infrastructure,FY2026,Aug,8,15333.33,15737.42,404.08,2.6,3003.99,14983.93,3532.51,68438,CC-WHPC-116,F-6057,PO-2026-8638,INV-512441,Pending,
Budget,Hardware Capital,Cooling Systems,FY2026,Jun,6,26000.0,23046.35,-2953.65,-11.4,4547.56,22284.25,3549.4,63872,CC-WHPC-150,F-7548,PO-2026-4891,Pending,Approved,
Budget,Hardware Capital,Cabling,FY2026,Mar,3,10666.67,9483.47,-1183.19,-11.1,1697.48,9297.21,1039.09,60465,CC-WHPC-148,F-2570,PO-2026-1355,Pending,Approved,
Budget,Hardware Capital,Installation,FY2026,Jan,1,20416.67,22300.95,1884.29,9.2,4011.21,20478.97,3156.97,62196,CC-WHPC-178,F-3772,PO-2026-7292,Pending,Approved,
Budget,Hardware Capital,Installation,FY2026,Oct,10,20416.67,18894.39,-1522.28,-7.5,3439.17,19830.83,676.34,65041,CC-WHPC-111,F-1314,PO-2026-9825,INV-182448,Approved,
Budget,Software Licensing,MATLAB,FY2026,Aug,8,10208.33,10612.3,403.96,4.0,1631.97,9624.83,2189.53,62358,CC-WHPC-140,F-9913,PO-2026-4667,INV-458692,Approved,
Budget,Software Licensing,ANSYS Suite,FY2026,May,5,12666.67,11591.91,-1074.76,-8.5,1335.1,11721.81,2726.94,68836,CC-WHPC-104,F-5360,PO-2026-4766,INV-220642,Approved,
Budget,Software Licensing,Gaussian,FY2026,Mar,3,3666.67,3544.71,-121.95,-3.3,493.98,3435.86,452.93,61028,CC-WHPC-113,F-1620,PO-2026-1811,INV-314119,Approved,
Budget,Software Licensing,Gaussian,FY2026,Dec,12,3666.67,3962.91,296.24,8.1,695.17,4046.06,92.53,60019,CC-WHPC-114,F-9152,PO-2026-1078,INV-628538,Approved,
Budget,Software Licensing,Abaqus,FY2026,Oct,10,7666.67,8591.59,924.92,12.1,1205.76,8339.7,1856.09,66913,CC-WHPC-162,F-8569,PO-2026-2722,Pending,Approved,
Budget,Software Licensing,COMSOL,FY2026,Jul,7,5666.67,6412.8,746.14,13.2,856.46,6426.37,1525.94,66348,CC-WHPC-181,F-7228,PO-2026-3048,Pending,Approved,
Budget,Software Licensing,Mathematica,FY2026,May,5,3333.33,2916.95,-416.38,-12.5,548.77,2906.84,633.58,63268,CC-WHPC-188,F-1484,PO-2026-6336,Pending,Approved,
Budget,Software Licensing,Schrodinger,FY2026,Feb,2,10416.67,12017.16,1600.49,15.4,1788.99,11584.89,1792.79,69672,CC-WHPC-196,F-6867,PO-2026-8570,Pending,Pending,
Budget,Software Licensing,Schrodinger,FY2026,Dec,12,10416.67,11233.2,816.53,7.8,1267.82,10950.78,550.7,67792,CC-WHPC-158,F-4065,PO-2026-5663,INV-243444,Approved,
Budget,Software Licensing,ARM Forge,FY2026,Sep,9,7500.0,8344.58,844.58,11.3,1128.12,8391.09,1499.11,68865,CC-WHPC-169,F-3997,PO-2026-6504,INV-237086,Approved,
Budget,Software Licensing,TotalView,FY2026,Jun,6,5166.67,5715.77,549.11,10.6,671.48,5316.79,597.65,64576,CC-WHPC-112,F-1905,PO-2026-7340,Pending,Approved,
Budget,Software Licensing,Other Software,FY2026,Apr,4,9000.0,7776.48,-1223.52,-13.6,1004.25,7732.17,1008.44,62652,CC-WHPC-195,F-6815,PO-2026-4815,INV-547843,Approved,
Budget,Staffing,Existing FTE,FY2026,Jan,1,137366.67,117997.49,-19369.18,-14.1,15959.07,121646.56,16037.89,60083,CC-WHPC-188,F-5447,,Pending,Approved,
Budget,Staffing,Existing FTE,FY2026,Nov,11,137366.67,150072.63,12705.97,9.2,27787.04,155322.13,248.75,63447,CC-WHPC-141,F-4525,,INV-645794,Approved,
Budget,Staffing,Migration Staff,FY2026,Aug,8,20583.33,20328.76,-254.57,-1.2,3963.11,20475.93,4870.69,61366,CC-WHPC-130,F-2489,,INV-679017,Approved,
Budget,Staffing,Training,FY2026,Jun,6,4000.0,4671.1,671.1,16.8,856.99,4878.32,614.92,69118,CC-WHPC-164,F-1889,,Pending,Approved,
Budget,Facilities,Electricity,FY2026,Mar,3,40416.67,38422.61,-1994.05,-4.9,5310.99,40064.59,425.9,66802,CC-WHPC-147,F-3405,,INV-198580,Approved,
Budget,Facilities,Cooling Water,FY2026,Jan,1,6500.0,5904.6,-595.4,-9.2,1082.32,5582.37,454.67,66888,CC-WHPC-163,F-6851,,INV-239261,In Review,
Budget,Facilities,Cooling Water,FY2026,Oct,10,6500.0,5436.67,-1063.33,-16.4,920.81,5354.25,596.83,62691,CC-WHPC-188,F-7941,,INV-338233,Approved,
Budget,Facilities,Building Maintenance,FY2026,Aug,8,7916.67,7413.69,-502.98,-6.4,1096.43,7461.11,187.79,62096,CC-WHPC-131,F-8131,,Pending,Approved,
Budget,Facilities,Electrical Upgrades,FY2026,May,5,29166.67,28395.95,-770.72,-2.6,5415.41,27915.81,1113.57,69097,CC-WHPC-172,F-6824,,Pending,Approved,
Budget,Facilities,Cooling Upgrades,FY2026,Mar,3,23333.33,22789.78,-543.56,-2.3,3053.63,21250.72,3300.16,62413,CC-WHPC-193,F-1103,,INV-793448,Approved,
Budget,Facilities,Cooling Upgrades,FY2026,Dec,12,23333.33,26152.77,2819.44,12.1,2797.15,26381.28,1538.81,68040,CC-WHPC-184,F-1796,,INV-387157,Approved,
Budget,Maintenance,HW Support Agreement,FY2026,Oct,10,26666.67,26375.52,-291.15,-1.1,3594.44,25002.23,1867.4,61740,CC-WHPC-140,F-4832,,INV-388417,In Review,
Budget,Maintenance,Contingency 15%,FY2026,Jul,7,21250.0,17810.28,-3439.72,-16.2,2972.77,16511.38,286.13,64093,CC-WHPC-162,F-6372,,INV-326413,Pending,
Budget,Hardware Capital,Compute Nodes,FY2027_Proposed,May,5,1011999.92,916850.63,-95149.29,-9.4,101009.32,950189.18,216465.13,60217,CC-WHPC-158,F-3960,PO-osed-8930,INV-501284,Approved,
Budget,Hardware Capital,Storage System,FY2027_Proposed,Feb,2,163321.0,137346.91,-25974.09,-15.9,22119.14,140249.79,33274.11,65159,CC-WHPC-163,F-1923,PO-osed-5807,Pending,Approved,
Budget,Hardware Capital,Storage System,FY2027_Proposed,Dec,12,163321.0,162225.24,-1095.76,-0.7,20166.99,167539.97,23940.92,66631,CC-WHPC-178,F-5963,PO-osed-1007,INV-979055,Approved,
Budget,Hardware Capital,Network Infrastructure,FY2027_Proposed,Sep,9,32199.92,33294.64,1094.73,3.4,3519.39,30984.94,5909.63,61342,CC-WHPC-185,F-1727,PO-osed-6751,INV-138287,Approved,
Budget,Hardware Capital,Rack Infrastructure,FY2027_Proposed,Jul,7,17633.25,19152.63,1519.38,8.6,3007.15,17293.28,2418.47,63317,CC-WHPC-169,F-6560,PO-osed-5414,INV-389961,Pending,
Budget,Hardware Capital,Cooling Systems,FY2027_Proposed,Apr,4,29900.0,34478.97,4578.97,15.3,3981.7,33204.09,7821.29,65221,CC-WHPC-184,F-5270,PO-osed-8232,INV-160709,Approved,
Budget,Hardware Capital,Cabling,FY2027_Proposed,Jan,1,12266.67,14459.42,2192.76,17.9,1630.87,13700.86,3522.9,67563,CC-WHPC-113,F-2337,PO-osed-6347,INV-983892,Approved,
Budget,Hardware Capital,Cabling,FY2027_Proposed,Nov,11,12266.67,12484.15,217.48,1.8,1922.2,11798.03,2749.91,65722,CC-WHPC-160,F-7385,PO-osed-5534,INV-224596,Approved,
Budget,Hardware Capital,Installation,FY2027_Proposed,Aug,8,23479.17,27094.41,3615.24,15.4,4240.68,25060.75,3546.41,61089,CC-WHPC-139,F-1499,PO-osed-4050,INV-392728,In Review,
Budget,Software Licensing,MATLAB,FY2027_Proposed,Jun,6,11739.58,12559.48,819.9,7.0,1965.18,11450.84,67.74,67982,CC-WHPC-167,F-6681,PO-osed-7677,INV-697285,Approved,
Budget,Software Licensing,ANSYS Suite,FY2027_Proposed,Mar,3,14566.67,14387.46,-179.2,-1.2,2529.91,13436.79,1171.27,61993,CC-WHPC-190,F-2963,PO-osed-3615,INV-591676,Approved,
Budget,Software Licensing,Gaussian,FY2027_Proposed,Jan,1,4216.58,4347.14,130.56,3.1,438.77,4525.97,676.7,68866,CC-WHPC-178,F-9047,PO-osed-5651,INV-480538,Approved,
Budget,Software Licensing,Gaussian,FY2027_Proposed,Oct,10,4216.58,4152.52,-64.06,-1.5,610.89,4127.29,100.79,64843,CC-WHPC-123,F-1189,PO-osed-5421,INV-809345,Approved,
Budget,Software Licensing,Abaqus,FY2027_Proposed,Aug,8,8816.58,9691.12,874.54,9.9,1568.35,9522.43,1576.78,60941,CC-WHPC-196,F-2292,PO-osed-9021,INV-294350,Approved,
Budget,Software Licensing,COMSOL,FY2027_Proposed,May,5,6516.67,7077.15,560.48,8.6,1182.37,7318.59,960.36,60947,CC-WHPC-138,F-4307,PO-osed-4349,INV-144116,Approved,
Budget,Software Licensing,Mathematica,FY2027_Proposed,Mar,3,3833.33,4264.09,430.75,11.2,440.5,4331.75,847.64,66199,CC-WHPC-191,F-9008,PO-osed-3135,Pending,In Review,
Budget,Software Licensing,Mathematica,FY2027_Proposed,Dec,12,3833.33,4015.15,181.82,4.7,741.13,3762.23,690.66,69370,CC-WHPC-173,F-6697,PO-osed-8005,Pending,Approved,
Budget,Software Licensing,Schrodinger,FY2027_Proposed,Oct,10,11979.17,13118.51,1139.34,9.5,2195.1,12191.96,3015.39,64617,CC-WHPC-118,F-7972,PO-osed-5547,INV-600221,Approved,
Budget,Software Licensing,ARM Forge,FY2027_Proposed,Jul,7,8624.92,7392.88,-1232.04,-14.3,1079.5,7693.43,1487.8,63941,CC-WHPC-150,F-3741,PO-osed-6685,INV-407050,Approved,
Budget,Software Licensing,TotalView,FY2027_Proposed,May,5,5941.67,6441.88,500.21,8.4,839.23,6068.73,384.61,60382,CC-WHPC-142,F-8104,PO-osed-9624,Pending,Approved,
Budget,Software Licensing,Other Software,FY2027_Proposed,Feb,2,10349.92,11180.97,831.05,8.0,1982.7,11422.46,785.04,64432,CC-WHPC-102,F-9843,PO-osed-3503,INV-536152,Approved,
Budget,Software Licensing,Other Software,FY2027_Proposed,Dec,12,10349.92,11735.68,1385.76,13.4,1195.72,11401.32,502.12,65101,CC-WHPC-197,F-1377,PO-osed-2619,Pending,Approved,
Budget,Staffing,Existing FTE,FY2027_Proposed,Sep,9,157971.58,158232.59,261.01,0.2,19738.1,145077.51,28923.2,69638,CC-WHPC-110,F-2726,,INV-378706,Approved,
Budget,Staffing,Migration Staff,FY2027_Proposed,Jul,7,23670.83,24363.26,692.43,2.9,4832.58,23217.12,1048.95,63086,CC-WHPC-148,F-4995,,INV-546653,Approved,
Budget,Staffing,Training,FY2027_Proposed,Apr,4,4599.92,4419.52,-180.4,-3.9,442.33,4571.24,470.9,68249,CC-WHPC-128,F-1669,,Pending,Approved,
Budget,Facilities,Electricity,FY2027_Proposed,Feb,2,46479.17,51536.55,5057.38,10.9,7579.5,52483.41,8503.51,67175,CC-WHPC-118,F-7465,,Pending,Approved,
Budget,Facilities,Electricity,FY2027_Proposed,Nov,11,46479.17,40748.79,-5730.38,-12.3,6859.04,38975.02,1716.55,66925,CC-WHPC-152,F-2293,,Pending,Approved,
Budget,Facilities,Cooling Water,FY2027_Proposed,Sep,9,7475.0,6595.47,-879.53,-11.8,840.91,6529.64,608.24,63894,CC-WHPC-195,F-1007,,INV-976523,Approved,
Budget,Facilities,Building Maintenance,FY2027_Proposed,Jun,6,9104.08,9446.77,342.69,3.8,960.58,9514.38,1390.75,68642,CC-WHPC-179,F-5484,,INV-438624,In Review,
Budget,Facilities,Electrical Upgrades,FY2027_Proposed,Mar,3,33541.58,27577.67,-5963.91,-17.8,4534.82,27850.2,3183.28,63301,CC-WHPC-101,F-4260,,INV-790023,Approved,
Budget,Facilities,Cooling Upgrades,FY2027_Proposed,Jan,1,26833.33,28614.67,1781.34,6.6,5281.18,28395.17,6687.29,64587,CC-WHPC-129,F-5306,,INV-705455,Approved,
Budget,Facilities,Cooling Upgrades,FY2027_Proposed,Oct,10,26833.33,28409.09,1575.76,5.9,3731.21,28553.1,682.86,60486,CC-WHPC-171,F-4691,,INV-542749,Approved,
Budget,Maintenance,HW Support Agreement,FY2027_Proposed,Aug,8,30666.67,26654.98,-4011.69,-13.1,2782.37,26232.21,4229.26,68836,CC-WHPC-175,F-3163,,Pending,Pending,
Budget,Maintenance,Contingency 15%,FY2027_Proposed,May,5,24437.5,23760.5,-677.0,-2.8,3577.0,22526.2,3376.04,68446,CC-WHPC-194,F-8882,,INV-528439,Pending,
Grant_Usage,Research Grant,G-0001 (NIH),FY2026,Mar,3,2790.73,20093.85,0.0,0.0,0.0,0.0,0.0,56996,CC-COMP-122,F-NIH-7045,,Internal Allocation,Allocated,"GPU_Hours=6918,CPU_Hours=5358,Storage_TB=8.39,Department=Computer Science"
Grant_Usage,Research Grant,G-0001 (NIH),FY2026,Dec,12,2790.73,7575.6,0.0,0.0,0.0,0.0,0.0,51515,CC-COMP-159,F-NIH-9336,,Internal Allocation,Allocated,"GPU_Hours=2645,CPU_Hours=10253,Storage_TB=0.83,Department=Computer Science"
