Month,Month_Num,Fiscal_Quarter,Department,Partition,Job_Size_Category,Jobs_Submitted,Jobs_Completed,Jobs_Failed,Jobs_Cancelled,Jobs_Timeout,Jobs_OOM,Jobs_Preempted,Total_GPU_Hours,Total_CPU_Hours,Total_Memory_GB_Hours,Total_Storage_Read_TB,Total_Storage_Write_TB,Avg_Wait_Minutes,Median_Wait_Minutes,P95_Wait_Minutes,P99_Wait_Minutes,Avg_Runtime_Hours,Median_Runtime_Hours,Avg_GPU_Utilization_PCT,Avg_Memory_Utilization_PCT,Avg_IB_BW_GBps,Total_Energy_kWh,Cost_Allocation_USD,Walltime_Accuracy_PCT,SLA_Met_PCT
Jan,1,Q1,Computer Science,large,65-128_GPU,122,112,6,1,3,0,0,130636.5,388039.2,80719267.0,36956.99,12786.91,59.2,41.4,148.0,236.9,49.4,29.6,53.5,40.7,47.6,718501.0,372314.07,41.7,99.5
Jan,1,Q1,Computer Science,priority,5-8_GPU,390,349,26,9,11,7,0,65915.3,225804.9,44012870.0,25893.1,18018.44,95.5,66.9,238.8,382.0,55.7,33.4,49.6,59.8,89.3,362534.0,187858.47,82.4,92.5
Jan,1,Q1,Computer Science,preemptible,2-GPU,276,242,25,9,4,2,3,14149.1,45693.2,12913959.0,505.71,1197.58,39.1,27.4,97.9,156.6,64.5,38.7,41.6,31.4,73.3,77820.0,40324.92,48.8,95.0
Jan,1,Q1,Computer Science,preemptible,3-4_GPU,187,171,10,4,2,0,1,26240.0,103449.7,17582376.0,12253.37,1197.49,27.4,19.2,68.6,109.7,12.9,7.7,77.3,51.3,56.4,144320.0,74783.98,86.9,93.5
Jan,1,Q1,Earth Sciences,gpu,3-4_GPU,351,308,28,4,2,1,0,11099.6,17904.5,2264260.0,3044.36,677.74,63.0,44.1,157.6,252.2,12.7,7.6,73.0,55.1,121.9,61048.0,31633.73,94.0,90.6
Jan,1,Q1,Earth Sciences,gpu,33-64_GPU,365,326,20,17,10,3,0,474675.9,1186752.5,273276090.0,192717.93,97723.48,43.6,30.5,109.0,174.5,25.7,15.4,87.9,68.8,171.7,2610718.0,1352826.38,88.7,98.3
Jan,1,Q1,Earth Sciences,debug,2-GPU,160,141,15,2,0,1,0,13994.4,28469.7,9336668.0,1346.54,706.83,30.1,21.1,75.2,120.4,4.9,2.9,42.0,76.7,119.5,76969.0,39884.16,92.4,90.0
Jan,1,Q1,Earth Sciences,large,2-GPU,139,122,5,5,3,0,0,10125.7,21077.1,5745626.0,3113.82,2070.73,33.9,23.8,84.8,135.7,51.4,30.9,94.8,66.0,113.5,55692.0,28858.35,94.4,88.7
Jan,1,Q1,Earth Sciences,large,17-32_GPU,39,37,0,1,0,0,0,10139.7,38313.6,5776947.0,4558.5,2401.48,82.5,57.7,206.2,330.0,10.2,6.1,93.0,57.5,94.3,55768.0,28898.08,40.7,90.2
Jan,1,Q1,Earth Sciences,large,33-64_GPU,247,221,6,11,4,3,0,203069.0,807564.1,80837214.0,77806.91,50645.46,10.3,7.2,25.8,41.4,50.5,30.3,60.8,59.3,175.1,1116879.0,578746.61,86.6,93.3
Jan,1,Q1,Earth Sciences,priority,2-GPU,190,182,8,3,2,1,0,9109.0,25524.9,8958174.0,1277.98,532.47,52.7,36.9,131.7,210.7,62.7,37.6,89.0,30.2,50.5,50099.0,25960.62,64.2,95.1
Jan,1,Q1,Earth Sciences,preemptible,1-GPU,46,43,4,2,1,0,0,1016.3,1983.7,578048.0,505.1,128.8,60.5,42.3,151.2,241.9,61.2,36.7,46.9,81.7,72.5,5590.0,2896.44,78.0,97.5
Jan,1,Q1,Mathematics,gpu,1-GPU,278,237,27,8,7,5,0,5216.9,18584.1,3255039.0,182.77,945.57,80.9,56.7,202.4,323.8,62.2,37.3,55.0,37.4,36.9,28693.0,14868.04,70.8,89.3
Jan,1,Q1,Mathematics,gpu,33-64_GPU,239,224,21,11,1,2,0,52706.8,146514.1,22131799.0,23019.69,14106.18,70.5,49.3,176.2,281.9,30.2,18.1,54.3,63.7,160.3,289887.0,150214.34,68.0,96.6
Jan,1,Q1,Mathematics,debug,1-GPU,108,103,7,4,2,1,0,4660.0,10802.0,3273754.0,1550.68,225.75,62.2,43.5,155.4,248.7,66.0,39.6,63.2,43.1,80.6,25630.0,13280.97,76.4,89.8
Jan,1,Q1,Mathematics,large,2-GPU,244,223,15,9,4,1,0,3914.4,13895.4,1022305.0,1650.78,1041.41,38.1,26.6,95.2,152.3,45.8,27.5,44.9,43.6,54.4,21529.0,11156.16,91.6,90.5
Jan,1,Q1,Mathematics,large,129-256_GPU,356,344,23,13,0,3,0,1042220.2,2279256.7,827868958.0,72656.18,213765.48,94.2,65.9,235.5,376.8,39.6,23.8,40.1,73.4,176.1,5732211.0,2970327.68,74.5,88.9
Jan,1,Q1,Mathematics,priority,2-GPU,376,334,18,15,4,6,0,5327.8,15331.2,1561474.0,2485.27,1110.4,55.0,38.5,137.6,220.1,27.3,16.4,55.7,25.4,145.4,29303.0,15184.19,93.3,99.8
Jan,1,Q1,Mathematics,preemptible,2-GPU,309,265,25,5,8,0,15,7441.6,26622.7,5732584.0,2472.64,730.98,64.4,45.1,161.1,257.8,16.6,10.0,87.5,71.2,94.3,40929.0,21208.45,73.2,94.8
Jan,1,Q1,Mathematics,preemptible,5-8_GPU,286,265,21,9,3,0,5,8632.8,21192.8,4710086.0,3995.4,559.12,16.3,11.4,40.9,65.4,34.9,21.0,59.8,68.9,128.4,47480.0,24603.48,93.1,90.3
Jan,1,Q1,Engineering,debug,2-GPU,161,157,9,2,3,2,0,6444.5,21950.8,3945201.0,2105.82,360.5,43.7,30.6,109.2,174.6,13.6,8.1,57.1,34.7,72.8,35445.0,18366.75,71.0,93.3
Jan,1,Q1,Engineering,large,5-8_GPU,37,32,1,0,0,0,0,4460.0,17694.6,1081460.0,322.8,148.93,88.1,61.7,220.4,352.6,5.3,3.2,37.8,53.9,63.4,24530.0,12711.1,91.4,89.2
Jan,1,Q1,Engineering,large,33-64_GPU,219,187,8,3,5,1,0,193562.2,351458.7,77827133.0,96288.69,9536.47,89.5,62.7,223.8,358.0,11.7,7.0,40.1,43.3,75.9,1064592.0,551652.18,81.8,99.5
Jan,1,Q1,Engineering,priority,2-GPU,38,32,2,1,0,0,0,2274.4,4029.8,693560.0,1123.94,320.11,11.3,7.9,28.4,45.4,10.2,6.1,60.6,63.7,67.5,12509.0,6481.91,79.4,98.9
Jan,1,Q1,Medical Research,gpu,9-16_GPU,280,253,20,4,5,4,0,78308.9,253344.4,67367535.0,32157.38,10553.92,82.6,57.8,206.6,330.5,58.3,35.0,89.2,83.9,176.2,430699.0,223180.38,72.2,94.7
Jan,1,Q1,Medical Research,interactive,1-GPU,336,314,27,11,8,1,0,4891.3,14246.6,1752011.0,1720.1,296.53,55.4,38.8,138.4,221.5,2.1,1.3,40.5,30.8,139.5,26902.0,13940.13,41.6,91.5
Jan,1,Q1,Medical Research,large,129-256_GPU,388,332,25,16,2,5,0,993882.3,3637778.9,537831407.0,173429.66,55638.33,75.5,52.9,188.8,302.0,18.2,10.9,91.1,38.5,53.9,5466353.0,2832564.51,58.2,91.4
Jan,1,Q1,Medical Research,priority,17-32_GPU,79,67,6,3,0,0,0,26122.7,55270.7,15932109.0,10031.81,716.4,95.6,66.9,238.9,382.3,48.4,29.1,44.8,62.1,102.9,143675.0,74449.77,89.8,97.8
Jan,1,Q1,Medical Research,priority,129-256_GPU,84,75,6,1,1,0,0,254228.6,418750.3,147369123.0,9583.47,73675.3,89.0,62.3,222.5,356.0,61.1,36.7,85.2,72.6,58.4,1398257.0,724551.4,55.9,94.9
Jan,1,Q1,Medical Research,preemptible,3-4_GPU,350,324,21,15,6,6,17,8043.7,19034.3,3957305.0,225.27,1761.22,10.2,7.2,25.6,40.9,53.2,31.9,57.4,61.0,158.4,44240.0,22924.51,40.4,97.1
Jan,1,Q1,Medical Research,preemptible,5-8_GPU,153,133,7,3,2,2,9,20838.4,48308.2,13015786.0,8937.8,4930.32,41.3,28.9,103.2,165.1,67.9,40.7,44.4,39.7,122.6,114611.0,59389.57,93.6,92.5
Jan,1,Q1,Medical Research,preemptible,33-64_GPU,21,18,0,0,0,0,0,29637.9,56249.6,24531083.0,1619.86,5459.2,69.6,48.7,173.9,278.3,35.0,21.0,74.6,52.1,49.2,163008.0,84468.0,92.5,91.6
Feb,2,Q1,Physics,priority,1-GPU,102,93,6,2,2,1,0,1306.0,2350.1,717204.0,43.89,237.32,32.2,22.5,80.5,128.8,33.6,20.1,71.2,60.0,160.3,7183.0,3722.18,82.0,98.4
Feb,2,Q1,Physics,priority,5-8_GPU,408,370,40,17,6,1,0,19796.5,71160.5,5876083.0,8332.15,4699.17,30.2,21.2,75.6,120.9,4.2,2.5,62.7,50.3,136.0,108881.0,56420.06,69.5,92.9
Feb,2,Q1,Physics,preemptible,33-64_GPU,108,102,3,4,1,0,5,145197.9,509909.2,110009609.0,40708.2,9824.46,41.2,28.8,103.0,164.7,51.3,30.8,63.9,49.0,175.6,798589.0,413814.07,85.4,97.1
Feb,2,Q1,Biology,priority,2-GPU,312,290,9,14,2,4,0,22053.3,52969.3,4991809.0,5008.1,6384.15,15.3,10.7,38.2,61.1,52.0,31.2,88.2,38.3,158.8,121293.0,62851.83,56.1,98.2
Feb,2,Q1,Biology,preemptible,2-GPU,98,88,4,2,2,1,7,5775.3,17657.8,2248164.0,1463.93,470.95,76.9,53.8,192.3,307.6,67.3,40.4,57.1,26.9,33.1,31764.0,16459.74,61.8,92.4
Feb,2,Q1,Biology,preemptible,65-128_GPU,196,184,12,8,0,2,12,504121.4,2009398.6,417036743.0,243067.45,11207.3,84.1,58.9,210.2,336.3,25.6,15.3,55.7,53.6,59.2,2772668.0,1436745.94,57.0,90.1
Feb,2,Q1,Chemistry,gpu,1-GPU,380,336,26,18,6,4,0,12017.2,35198.4,11659469.0,3154.32,3592.24,82.6,57.8,206.5,330.4,36.5,21.9,44.6,57.2,42.3,66094.0,34248.92,64.9,90.0
Feb,2,Q1,Chemistry,gpu,9-16_GPU,129,111,11,6,3,1,0,19231.9,37254.7,16064705.0,8068.43,3834.49,50.1,35.1,125.2,200.4,11.5,6.9,54.8,34.4,46.5,105775.0,54810.78,86.2,96.4
Feb,2,Q1,Chemistry,priority,17-32_GPU,378,349,12,9,1,3,0,227403.6,381553.2,85447238.0,23214.7,8325.24,70.9,49.6,177.3,283.6,21.0,12.6,80.9,63.4,32.5,1250720.0,648100.15,66.0,95.9
Feb,2,Q1,Computer Science,gpu,33-64_GPU,273,249,17,6,1,0,0,276971.0,726087.2,61383827.0,17119.81,62017.53,23.5,16.5,58.9,94.2,10.4,6.2,55.6,26.6,93.9,1523341.0,789367.38,69.5,93.1
Feb,2,Q1,Computer Science,debug,2-GPU,63,56,2,0,1,0,0,4963.6,19177.3,4397308.0,599.68,1018.41,7.1,5.0,17.8,28.5,65.6,39.4,42.1,30.4,28.3,27300.0,14146.16,84.5,95.9
Feb,2,Q1,Computer Science,interactive,2-GPU,135,119,4,4,2,2,0,4810.0,14960.9,3613960.0,1263.58,1319.01,19.9,13.9,49.7,79.6,40.7,24.4,84.7,57.9,94.5,26455.0,13708.49,91.8,95.4
Feb,2,Q1,Computer Science,large,1-GPU,259,232,20,6,7,3,0,9395.6,15339.9,2240016.0,1615.53,1609.13,11.7,8.2,29.2,46.8,49.6,29.8,43.5,25.2,18.9,51676.0,26777.44,68.8,95.6
Feb,2,Q1,Computer Science,large,33-64_GPU,62,58,1,2,1,0,0,77571.5,284865.4,33256994.0,2024.15,23267.42,50.9,35.7,127.4,203.8,21.2,12.7,80.7,45.3,8.4,426643.0,221078.81,75.2,99.8
Feb,2,Q1,Computer Science,preemptible,5-8_GPU,240,206,12,6,1,3,9,46604.3,179653.0,13508969.0,2720.43,6364.26,43.5,30.5,108.8,174.1,6.5,3.9,42.0,58.7,72.4,256324.0,132822.23,90.6,93.0
Feb,2,Q1,Computer Science,preemptible,65-128_GPU,215,189,7,4,5,0,16,159666.9,429178.2,162816471.0,62890.85,36615.57,72.0,50.4,180.1,288.2,56.2,33.7,92.2,42.4,27.6,878168.0,455050.8,85.3,90.1
Feb,2,Q1,Earth Sciences,debug,1-GPU,410,392,30,16,4,4,0,2337.3,3759.9,2018599.0,220.5,303.23,80.1,56.1,200.3,320.4,51.6,30.9,79.4,57.0,124.3,12855.0,6661.32,56.1,88.4
Feb,2,Q1,Earth Sciences,preemptible,5-8_GPU,63,57,2,2,0,0,1,3249.2,4992.9,1807216.0,885.02,746.65,87.4,61.2,218.4,349.5,56.3,33.8,84.9,51.6,45.8,17871.0,9260.2,48.5,92.1
Feb,2,Q1,Mathematics,gpu,2-GPU,399,359,16,12,3,6,0,5114.0,12348.6,4971870.0,2178.96,626.87,92.9,65.1,232.3,371.7,1.8,1.1,94.4,69.1,67.2,28127.0,14574.98,45.2,96.0
Feb,2,Q1,Mathematics,gpu,17-32_GPU,271,247,20,2,3,0,0,110191.7,437177.1,80430205.0,52792.77,20854.06,56.5,39.6,141.3,226.1,3.1,1.9,76.7,48.8,103.5,606054.0,314046.29,69.9,97.1
Feb,2,Q1,Mathematics,interactive,1-GPU,297,284,24,7,5,2,0,11836.7,21018.8,7939623.0,5867.4,1929.32,38.3,26.8,95.7,153.0,23.6,14.2,94.3,69.8,26.1,65102.0,33734.63,83.8,89.9
Feb,2,Q1,Mathematics,large,9-16_GPU,47,42,2,1,0,0,0,12223.9,22964.1,5020195.0,4883.81,2477.61,6.8,4.8,17.1,27.4,40.4,24.2,51.0,48.9,26.0,67231.0,34838.01,53.9,98.1
Feb,2,Q1,Mathematics,large,129-256_GPU,105,90,3,3,0,1,0,149431.7,266795.0,112988251.0,63184.66,9733.05,38.3,26.8,95.8,153.2,60.1,36.1,73.9,71.5,16.0,821874.0,425880.4,42.0,94.7
Feb,2,Q1,Mathematics,priority,129-256_GPU,308,296,16,13,5,1,0,1593362.0,3003416.1,1336039814.0,332991.23,145296.37,94.8,66.3,237.0,379.1,67.0,40.2,87.7,76.7,156.3,8763491.0,4541081.79,87.3,94.7
Feb,2,Q1,Mathematics,preemptible,3-4_GPU,381,371,34,15,7,6,20,22832.8,51191.3,8117187.0,7479.62,3583.05,93.0,65.1,232.5,371.9,52.2,31.3,93.9,55.6,11.7,125581.0,65073.56,54.5,99.0
Feb,2,Q1,Mathematics,preemptible,5-8_GPU,19,17,1,0,0,0,0,1059.5,3729.2,610759.0,203.81,22.37,32.7,22.9,81.7,130.8,42.0,25.2,45.0,51.4,150.1,5827.0,3019.51,46.7,89.3
Feb,2,Q1,Mathematics,preemptible,129-256_GPU,282,267,22,11,6,5,3,1676905.8,5575680.3,1716491597.0,733556.41,226851.85,35.1,24.6,87.8,140.4,62.4,37.4,44.4,52.2,141.3,9222982.0,4779181.4,73.1,91.4
Feb,2,Q1,Engineering,priority,129-256_GPU,24,23,1,0,0,0,0,26360.6,48026.9,7295823.0,4724.59,3618.79,30.5,21.3,76.2,121.9,55.1,33.1,82.9,80.5,98.0,144983.0,75127.61,67.3,90.6
Feb,2,Q1,Medical Research,priority,9-16_GPU,42,35,2,0,0,0,0,1949.3,5435.6,1049661.0,759.53,252.44,36.8,25.7,92.0,147.1,10.8,6.5,39.1,48.7,160.1,10721.0,5555.51,40.4,98.7
Feb,2,Q1,Medical Research,preemptible,129-256_GPU,176,157,16,4,4,3,7,95610.3,312586.1,72448062.0,33765.32,18560.07,96.0,67.2,239.9,383.9,38.8,23.3,44.6,66.6,5.6,525857.0,272489.43,79.1,94.7
Mar,3,Q1,Physics,gpu,2-GPU,113,99,9,3,1,1,0,878.7,2408.2,716361.0,157.5,131.05,65.5,45.8,163.7,261.9,14.6,8.7,74.9,45.6,115.1,4833.0,2504.16,53.8,91.5
Mar,3,Q1,Physics,large,1-GPU,335,314,23,12,7,1,0,6522.8,14584.1,2555489.0,1692.51,317.09,54.8,38.4,137.0,219.2,64.6,38.7,63.5,66.6,6.3,35876.0,18590.08,46.1,99.5
Mar,3,Q1,Physics,preemptible,17-32_GPU,73,66,3,1,0,1,0,37293.9,128215.0,34733640.0,3571.34,10966.73,53.9,37.7,134.7,215.5,17.3,10.4,94.3,48.9,177.9,205116.0,106287.49,87.8,89.0
Mar,3,Q1,Biology,gpu,129-256_GPU,9,7,0,0,0,0,0,53299.3,101205.2,29567640.0,18553.08,9267.71,97.8,68.5,244.5,391.2,35.2,21.1,46.5,70.6,167.4,293146.0,151902.88,66.9,99.9
Mar,3,Q1,Biology,large,65-128_GPU,30,25,2,0,0,0,0,20248.5,54508.7,14371718.0,749.62,1634.39,8.7,6.1,21.8,34.9,2.4,1.5,73.4,48.5,86.5,111367.0,57708.12,51.4,88.5
Mar,3,Q1,Biology,priority,1-GPU,55,53,1,2,0,1,0,1537.4,4793.1,828111.0,753.56,38.49,19.7,13.8,49.1,78.6,56.2,33.7,82.5,53.4,55.7,8456.0,4381.52,81.1,95.6
Mar,3,Q1,Biology,priority,2-GPU,289,268,7,9,6,1,0,25031.6,48793.3,20206705.0,11026.48,7409.47,67.7,47.4,169.2,270.7,57.8,34.7,59.6,26.5,78.3,137674.0,71339.94,76.3,98.7
Mar,3,Q1,Chemistry,large,1-GPU,108,104,2,2,1,0,0,2549.2,7000.3,1669167.0,602.1,204.87,35.1,24.6,87.8,140.4,4.4,2.7,40.3,33.3,90.1,14021.0,7265.22,86.5,89.2
Mar,3,Q1,Chemistry,large,5-8_GPU,320,308,15,5,4,5,0,5456.8,17733.3,4170938.0,123.4,38.79,29.9,20.9,74.6,119.4,61.9,37.1,41.8,45.2,99.0,30013.0,15551.98,85.0,89.7
Mar,3,Q1,Chemistry,priority,1-GPU,51,49,1,0,0,0,0,1689.7,6108.3,473287.0,20.23,350.91,5.0,3.5,12.4,19.9,28.9,17.3,70.8,41.3,172.6,9294.0,4815.74,70.8,96.0
Mar,3,Q1,Chemistry,preemptible,33-64_GPU,308,281,28,11,5,4,16,224066.3,757242.8,218781244.0,102441.27,27413.14,90.9,63.6,227.3,363.7,8.8,5.3,36.9,45.0,40.5,1232365.0,638588.89,47.2,98.7
Mar,3,Q1,Computer Science,gpu,33-64_GPU,400,340,22,17,10,4,0,378227.3,1444316.1,124469509.0,23721.65,108411.74,99.4,69.6,248.4,397.5,21.6,12.9,60.3,63.9,163.5,2080250.0,1077947.8,87.8,94.8
Mar,3,Q1,Computer Science,large,17-32_GPU,279,242,8,6,6,5,0,197162.9,372703.0,132334397.0,63340.53,46279.93,43.8,30.6,109.5,175.1,17.0,10.2,74.7,75.9,159.7,1084396.0,561914.2,74.5,94.4
Mar,3,Q1,Computer Science,priority,2-GPU,183,161,4,2,0,0,0,9714.6,30002.9,3927737.0,4559.46,1698.76,28.0,19.6,69.9,111.8,7.6,4.6,60.4,58.8,6.0,53430.0,27686.65,89.2,94.4
Mar,3,Q1,Computer Science,priority,5-8_GPU,31,27,2,1,0,0,0,5539.1,15479.7,2857278.0,1690.79,234.9,81.4,57.0,203.6,325.7,44.4,26.6,79.6,45.8,126.1,30465.0,15786.38,91.3,98.4
Mar,3,Q1,Computer Science,preemptible,33-64_GPU,386,337,21,12,5,3,22,430553.5,1233948.3,318879610.0,139213.62,115423.29,41.5,29.1,103.8,166.1,48.2,28.9,94.6,59.0,65.9,2368044.0,1227077.39,82.8,89.7
Mar,3,Q1,Earth Sciences,interactive,1-GPU,297,268,22,12,7,2,0,1231.8,2243.4,804584.0,210.76,256.12,63.6,44.5,159.0,254.3,70.7,42.4,58.0,43.7,114.8,6775.0,3510.75,58.8,92.9
Mar,3,Q1,Earth Sciences,large,129-256_GPU,65,59,5,1,0,0,0,172132.5,419427.9,53762649.0,3520.04,28936.53,70.9,49.6,177.2,283.5,66.3,39.8,42.9,76.9,177.0,946729.0,490577.55,67.3,93.4
Mar,3,Q1,Mathematics,gpu,2-GPU,435,373,41,18,8,1,0,13282.3,51645.7,7253597.0,5601.3,1780.78,90.2,63.1,225.4,360.7,58.5,35.1,61.2,41.2,14.0,73053.0,37854.51,68.2,97.3
Mar,3,Q1,Mathematics,gpu,5-8_GPU,204,178,10,2,5,0,0,20624.8,54026.0,7556069.0,4532.0,5782.27,80.5,56.4,201.4,322.2,29.7,17.8,45.7,49.0,178.1,113437.0,58780.73,73.1,95.4
Mar,3,Q1,Mathematics,debug,2-GPU,65,57,3,0,0,0,0,4614.7,9892.2,2622424.0,1087.63,1219.73,104.1,72.8,260.1,416.2,2.4,1.4,65.3,81.5,30.9,25381.0,13151.97,55.4,95.9
Mar,3,Q1,Engineering,gpu,2-GPU,233,219,9,6,0,0,0,16983.7,44153.2,6894654.0,875.82,1460.52,24.4,17.0,60.9,97.4,16.8,10.1,69.1,69.7,10.7,93410.0,48403.58,73.0,92.4
Mar,3,Q1,Engineering,gpu,17-32_GPU,53,47,2,2,0,0,0,23100.3,43761.9,9839589.0,3256.92,4084.47,53.5,37.5,133.8,214.0,69.4,41.6,50.3,63.5,164.0,127051.0,65835.77,62.3,99.3
Mar,3,Q1,Engineering,priority,3-4_GPU,43,39,2,1,0,0,0,5354.8,9852.5,1565908.0,2654.85,1564.37,32.2,22.5,80.5,128.8,63.8,38.3,52.8,76.1,134.0,29451.0,15261.04,48.1,88.3
Mar,3,Q1,Engineering,preemptible,5-8_GPU,447,400,30,19,7,4,20,51222.6,179976.9,25306970.0,5333.16,1262.95,96.1,67.3,240.2,384.3,70.2,42.1,71.6,47.7,159.5,281724.0,145984.49,52.3,91.7
Mar,3,Q1,Medical Research,gpu,33-64_GPU,213,186,16,9,5,3,0,46916.2,185883.7,24350328.0,18100.86,6941.2,88.2,61.8,220.6,352.9,51.8,31.1,59.3,82.9,30.7,258039.0,133711.2,87.6,91.9
Mar,3,Q1,Medical Research,preemptible,2-GPU,185,179,3,5,4,2,5,5633.1,20032.1,3612899.0,71.73,916.92,48.8,34.1,121.9,195.1,27.3,16.4,70.4,77.5,41.9,30982.0,16054.22,85.4,96.6
Apr,4,Q2,Physics,large,2-GPU,120,114,8,1,3,1,0,4883.5,7908.6,2966883.0,2283.98,37.16,38.5,26.9,96.2,154.0,62.1,37.3,68.4,72.5,16.1,26859.0,13918.01,59.6,99.7
Apr,4,Q2,Physics,preemptible,2-GPU,446,391,29,19,1,6,5,6799.0,20129.3,2422418.0,3122.79,53.51,14.8,10.4,37.1,59.3,19.5,11.7,46.8,37.9,54.3,37395.0,19377.2,60.0,89.2
Apr,4,Q2,Physics,preemptible,3-4_GPU,192,185,10,8,1,3,9,4272.6,16914.7,1538837.0,1689.43,1173.0,33.9,23.7,84.8,135.7,61.0,36.6,69.2,70.6,144.1,23499.0,12176.96,83.3,93.5
Apr,4,Q2,Physics,preemptible,33-64_GPU,15,14,1,0,0,0,0,16256.2,64505.2,9474417.0,7310.86,4339.09,62.1,43.5,155.2,248.3,57.4,34.5,74.5,38.9,47.1,89409.0,46330.11,74.7,94.0
