Date,OST_ID,Storage_Node,Capacity_TB,Used_TB,Used_PCT,Files_Count_M,Avg_Read_MBps,Avg_Write_MBps,Peak_Read_MBps,Peak_Write_MBps,Read_IOPS,Write_IOPS,Avg_Latency_ms,P99_Latency_ms,Errors_24h
2025-02-02,OST-07,storage-002,100,104.625,83.7,5.1,3212.0,2529.0,4818.0,3541.0,33901,24970,3.91,23.37,2
2025-02-02,OST-14,storage-003,100,112.625,90.1,4.2,3102.0,3891.0,4653.0,5448.0,7928,26554,2.73,41.97,1
2025-02-06,OST-11,storage-002,100,70.8,70.8,5.2,2657.0,2490.0,3985.0,3486.0,13701,24169,4.85,26.42,0
2025-02-09,OST-07,storage-002,100,110.75,88.6,7.4,4181.0,2118.0,6272.0,2965.0,29321,4265,4.62,13.09,0
2025-02-10,OST-07,storage-002,100,109.0,87.2,2.2,3888.0,2736.0,5832.0,3831.0,37762,21093,1.39,35.89,1
2025-02-11,OST-14,storage-003,100,102.875,82.3,2.4,4134.0,2993.0,6201.0,4191.0,16617,28247,4.22,43.65,1
2025-02-12,OST-07,storage-002,100,105.375,84.3,3.9,3439.0,2269.0,5158.0,3177.0,28333,29314,2.22,12.61,0
2025-02-13,OST-07,storage-002,100,111.125,88.9,7.1,4110.0,3505.0,6165.0,4907.0,41429,4515,2.87,22.28,2
2025-02-13,OST-14,storage-003,100,106.5,85.2,7.7,4367.0,3076.0,6551.0,4307.0,30724,22893,2.8,36.13,0
2025-02-14,OST-07,storage-002,100,110.75,88.6,4.3,4244.0,3737.0,6366.0,5232.0,13925,23524,1.81,31.78,1
2025-02-14,OST-14,storage-003,100,106.75,85.4,3.9,2747.0,3069.0,4121.0,4296.0,13147,26021,2.35,36.6,1
2025-02-15,OST-07,storage-002,100,106.375,85.1,4.9,3441.0,2616.0,5162.0,3662.0,10615,19312,1.89,13.07,1
2025-02-16,OST-22,storage-004,100,78.8,78.8,7.2,2550.0,1863.0,3825.0,2608.0,27529,10504,4.39,23.67,0
2025-02-18,OST-07,storage-002,100,106.5,85.2,4.2,5011.0,2423.0,7517.0,3393.0,24581,12169,4.66,10.06,2
2025-02-20,OST-07,storage-002,100,105.375,84.3,4.3,3266.0,2502.0,4899.0,3503.0,12969,17495,1.32,14.27,2
2025-02-20,OST-14,storage-003,100,112.875,90.3,4.8,3116.0,3046.0,4675.0,4265.0,25781,28843,3.2,28.62,0
2025-02-22,OST-03,storage-001,100,66.5,66.5,3.3,3010.0,2138.0,4515.0,2993.0,35105,24487,3.4,21.36,1
2025-02-22,OST-07,storage-002,100,108.625,86.9,3.7,3676.0,2517.0,5514.0,3524.0,25373,12674,1.3,42.46,2
2025-02-24,OST-14,storage-003,100,114.0,91.2,4.3,2691.0,3066.0,4036.0,4292.0,13204,26629,3.63,46.12,2
2025-02-25,OST-14,storage-003,100,113.25,90.6,5.2,3115.0,2860.0,4673.0,4003.0,34088,23806,4.61,27.86,0
2025-02-26,OST-14,storage-003,100,107.5,86.0,2.7,3542.0,2010.0,5314.0,2815.0,22988,8738,3.48,39.79,1
2025-02-27,OST-07,storage-002,100,108.25,86.6,6.1,4024.0,3186.0,6037.0,4461.0,14512,24039,1.64,43.46,0
2025-02-27,OST-09,storage-002,100,74.9,74.9,7.6,3071.0,2240.0,4607.0,3136.0,27182,24345,4.39,20.73,2
2025-02-28,OST-07,storage-002,100,110.125,88.1,5.7,3654.0,2730.0,5482.0,3822.0,26250,11174,1.41,28.52,0
2025-02-28,OST-14,storage-003,100,110.5,88.4,2.4,4293.0,2614.0,6439.0,3660.0,11153,5622,3.09,46.16,2
2025-03-01,OST-07,storage-002,100,113.25,90.6,6.7,5105.0,2382.0,7657.0,3335.0,45699,26352,1.65,17.78,1
2025-03-02,OST-07,storage-002,100,106.0,84.8,2.6,3374.0,2579.0,5061.0,3611.0,34458,27899,3.31,18.64,0
2025-03-03,OST-14,storage-003,100,109.875,87.9,3.9,3748.0,2339.0,5622.0,3274.0,6150,6014,4.74,13.08,2
2025-03-04,OST-07,storage-002,100,113.75,91.0,3.1,3687.0,2528.0,5531.0,3540.0,38419,4822,4.1,24.62,2
2025-03-04,OST-14,storage-003,100,105.5,84.4,7.3,4199.0,1162.0,6299.0,1627.0,48290,28605,2.19,14.3,1
2025-03-04,OST-18,storage-004,100,65.4,65.4,6.3,3729.0,964.0,5594.0,1349.0,42996,6925,4.69,39.85,2
2025-03-05,OST-07,storage-002,100,107.25,85.8,3.0,3602.0,3041.0,5403.0,4257.0,6107,16976,1.3,25.4,2
2025-03-06,OST-14,storage-003,100,107.25,85.8,5.4,3807.0,2160.0,5710.0,3024.0,31854,7803,4.51,15.45,0
2025-03-07,OST-07,storage-002,100,104.75,83.8,4.9,3815.0,2669.0,5723.0,3737.0,44495,3611,0.79,48.44,0
2025-03-08,OST-14,storage-003,100,108.375,86.7,5.3,3284.0,3181.0,4926.0,4454.0,42465,28532,4.5,36.91,1
2025-03-10,OST-00,storage-001,100,65.8,65.8,4.6,3053.0,2003.0,4579.0,2804.0,28432,6217,3.99,35.64,1
2025-03-10,OST-14,storage-003,100,113.875,91.1,7.2,3336.0,2443.0,5004.0,3420.0,18401,21541,4.89,31.39,0
2025-03-11,OST-07,storage-002,100,112.625,90.1,7.2,4387.0,2774.0,6581.0,3884.0,36731,16448,3.08,39.98,0
2025-03-11,OST-14,storage-003,100,111.75,89.4,3.6,3661.0,2881.0,5491.0,4033.0,9647,29933,2.03,21.27,0
2025-03-12,OST-14,storage-003,100,107.875,86.3,5.0,3367.0,3078.0,5051.0,4309.0,19580,7417,1.02,12.11,0
2025-03-13,OST-14,storage-003,100,109.125,87.3,7.6,2488.0,3087.0,3732.0,4321.0,45724,5438,2.46,6.37,2
2025-03-15,OST-06,storage-002,100,67.7,67.7,5.0,2975.0,2600.0,4463.0,3640.0,6566,12008,2.23,44.66,0
2025-03-15,OST-07,storage-002,100,107.875,86.3,7.9,3976.0,3111.0,5964.0,4355.0,30199,3513,4.59,11.38,1
2025-03-16,OST-14,storage-003,100,112.25,89.8,7.8,3507.0,3462.0,5261.0,4847.0,12033,10318,2.98,9.06,0
2025-03-17,OST-07,storage-002,100,114.0,91.2,3.7,4197.0,2347.0,6296.0,3286.0,25358,17427,3.44,32.69,1
2025-03-17,OST-14,storage-003,100,108.875,87.1,3.9,3332.0,2913.0,4998.0,4078.0,18142,17494,3.72,42.42,2
2025-03-18,OST-07,storage-002,100,110.375,88.3,6.4,4274.0,2378.0,6411.0,3329.0,12246,29296,2.94,12.25,2
2025-03-18,OST-14,storage-003,100,105.375,84.3,5.7,3491.0,2933.0,5237.0,4106.0,43146,20515,3.47,36.94,1
2025-03-20,OST-07,storage-002,100,106.75,85.4,7.7,3545.0,3036.0,5317.0,4251.0,18732,29806,2.55,48.77,1
2025-03-20,OST-15,storage-003,100,76.7,76.7,7.4,2480.0,2515.0,3720.0,3520.0,47929,9903,0.54,13.47,2
2025-03-21,OST-07,storage-002,100,113.625,90.9,5.8,3741.0,2525.0,5612.0,3535.0,19270,9367,2.8,26.93,2
2025-03-22,OST-07,storage-002,100,111.5,89.2,2.7,2733.0,2370.0,4099.0,3318.0,15282,26358,1.11,6.69,0
2025-03-23,OST-07,storage-002,100,114.125,91.3,4.2,5329.0,2716.0,7993.0,3802.0,18839,15264,2.25,8.91,2
2025-03-24,OST-14,storage-003,100,109.25,87.4,3.6,4362.0,2171.0,6543.0,3039.0,11650,10913,0.65,9.83,2
2025-03-25,OST-14,storage-003,100,107.875,86.3,3.5,3393.0,3184.0,5089.0,4458.0,20974,23385,1.95,6.26,0
2025-03-25,OST-21,storage-004,100,72.7,72.7,2.2,2840.0,3619.0,4260.0,5067.0,25071,23314,3.79,19.99,2
2025-03-26,OST-07,storage-002,100,114.25,91.4,4.8,3652.0,2763.0,5478.0,3868.0,41665,15287,0.95,26.76,0
2025-03-26,OST-14,storage-003,100,108.375,86.7,8.0,3598.0,2670.0,5397.0,3738.0,18695,10292,0.89,13.2,0
2025-03-27,OST-07,storage-002,100,112.375,89.9,4.8,3843.0,2092.0,5765.0,2928.0,46811,9593,4.0,15.39,1
2025-03-27,OST-14,storage-003,100,110.25,88.2,3.6,2991.0,2485.0,4486.0,3479.0,49611,11822,3.55,22.87,2
2025-03-29,OST-07,storage-002,100,114.625,91.7,5.6,3183.0,2795.0,4774.0,3913.0,49122,7449,3.08,24.02,2
2025-03-29,OST-14,storage-003,100,105.0,84.0,3.2,4273.0,3218.0,6409.0,4505.0,48142,10461,4.15,40.17,1
2025-03-31,OST-05,storage-001,100,72.3,72.3,7.4,2143.0,1646.0,3214.0,2304.0,15361,9173,3.65,12.01,2
2025-03-31,OST-14,storage-003,100,106.0,84.8,7.5,3310.0,2163.0,4965.0,3028.0,8533,9854,3.25,10.92,0
2025-04-01,OST-07,storage-002,100,107.875,86.3,4.7,3639.0,2927.0,5459.0,4098.0,13214,15377,4.01,8.03,0
2025-04-01,OST-14,storage-003,100,114.375,91.5,5.7,4220.0,2756.0,6330.0,3858.0,39999,14562,0.56,15.02,2
2025-04-02,OST-07,storage-002,100,105.25,84.2,3.7,3586.0,2386.0,5378.0,3340.0,28102,4025,0.66,23.54,0
2025-04-02,OST-14,storage-003,100,106.375,85.1,2.5,2936.0,2901.0,4403.0,4061.0,20299,14607,1.15,33.21,2
2025-04-03,OST-14,storage-003,100,105.0,84.0,2.3,3698.0,2234.0,5547.0,3128.0,47118,10872,3.07,49.01,2
2025-04-04,OST-14,storage-003,100,112.0,89.6,3.2,4389.0,2638.0,6583.0,3693.0,45227,4753,0.62,49.31,0
2025-04-05,OST-14,storage-003,100,100.375,80.3,5.8,3806.0,2501.0,5709.0,3501.0,40890,21285,4.14,14.1,1
2025-04-06,OST-07,storage-002,100,109.875,87.9,2.7,3375.0,2676.0,5063.0,3746.0,42628,24850,3.48,21.15,1
2025-04-06,OST-14,storage-003,100,108.75,87.0,4.0,3669.0,2761.0,5503.0,3866.0,41402,6775,1.16,29.64,0
2025-04-07,OST-14,storage-003,100,114.25,91.4,3.7,3468.0,2972.0,5202.0,4161.0,28202,25160,0.6,36.37,0
2025-04-08,OST-14,storage-003,100,113.625,90.9,2.0,3687.0,2980.0,5531.0,4172.0,7253,15431,4.0,40.45,0
2025-04-09,OST-07,storage-002,100,110.375,88.3,2.6,2654.0,1814.0,3982.0,2540.0,39875,22014,0.57,44.98,2
2025-04-10,OST-14,storage-003,100,113.125,90.5,5.6,4844.0,2731.0,7266.0,3823.0,9866,12644,1.87,9.06,0
2025-04-10,OST-21,storage-004,100,74.9,74.9,3.9,2713.0,1990.0,4069.0,2786.0,8389,14986,1.72,42.85,2
2025-04-11,OST-07,storage-002,100,108.875,87.1,4.6,3586.0,2523.0,5379.0,3532.0,35798,29202,3.66,7.2,2
2025-04-11,OST-14,storage-003,100,108.5,86.8,5.9,2305.0,2996.0,3457.0,4194.0,17999,15890,2.67,47.22,0
2025-04-12,OST-07,storage-002,100,105.0,84.0,5.5,2738.0,2649.0,4107.0,3709.0,44363,28616,3.24,40.38,2
2025-04-13,OST-07,storage-002,100,104.625,83.7,6.1,2783.0,2774.0,4174.0,3884.0,44657,6759,3.33,48.34,2
2025-04-13,OST-14,storage-003,100,111.375,89.1,2.9,4168.0,2834.0,6252.0,3968.0,44467,17334,2.08,43.31,2
2025-04-14,OST-07,storage-002,100,109.5,87.6,3.7,2979.0,3102.0,4468.0,4342.0,37005,23107,2.88,49.88,0
2025-04-14,OST-14,storage-003,100,109.0,87.2,6.2,4958.0,2127.0,7437.0,2978.0,23543,22515,1.44,42.11,2
2025-04-15,OST-07,storage-002,100,106.5,85.2,5.1,3188.0,2753.0,4782.0,3855.0,33104,22431,2.77,44.65,1
2025-04-16,OST-07,storage-002,100,96.25,77.0,2.9,3958.0,3776.0,5937.0,5287.0,48764,3077,0.94,48.76,1
2025-04-17,OST-14,storage-003,100,109.75,87.8,3.9,4596.0,2724.0,6894.0,3814.0,17605,8978,4.93,5.89,1
2025-04-19,OST-14,storage-003,100,108.75,87.0,5.7,3117.0,2859.0,4676.0,4003.0,22930,19883,2.38,39.84,0
2025-04-20,OST-07,storage-002,100,114.75,91.8,7.0,3495.0,1319.0,5242.0,1847.0,23436,9036,1.63,47.37,0
2025-04-20,OST-14,storage-003,100,106.375,85.1,3.8,4138.0,2872.0,6207.0,4020.0,35889,19675,1.95,49.29,1
2025-04-21,OST-12,storage-003,100,71.7,71.7,3.5,2822.0,1732.0,4233.0,2425.0,19064,16702,2.73,46.01,0
2025-04-21,OST-14,storage-003,100,110.125,88.1,7.0,4100.0,2256.0,6149.0,3158.0,14719,10112,0.61,29.17,0
2025-04-22,OST-14,storage-003,100,110.75,88.6,6.8,3144.0,2436.0,4716.0,3410.0,14357,14183,4.71,29.65,2
2025-04-23,OST-07,storage-002,100,112.875,90.3,6.4,3177.0,3277.0,4766.0,4588.0,30812,10103,2.79,46.59,0
2025-04-23,OST-14,storage-003,100,113.625,90.9,4.7,3522.0,2608.0,5282.0,3651.0,16191,22999,4.55,35.62,1
2025-04-24,OST-14,storage-003,100,107.5,86.0,5.7,3199.0,3179.0,4798.0,4451.0,12772,10038,0.84,41.82,1
2025-04-25,OST-07,storage-002,100,108.375,86.7,7.2,3362.0,2356.0,5043.0,3299.0,31350,19715,4.22,40.64,2
2025-04-26,OST-07,storage-002,100,108.5,86.8,5.0,2838.0,2668.0,4258.0,3735.0,31512,14490,4.94,6.28,0
2025-04-26,OST-21,storage-004,100,70.0,70.0,6.6,2779.0,2662.0,4168.0,3726.0,32934,28969,4.27,20.39,0
2025-04-27,OST-07,storage-002,100,112.0,89.6,6.6,2992.0,2806.0,4487.0,3928.0,48214,9572,4.73,48.78,2
2025-04-28,OST-07,storage-002,100,108.375,86.7,3.0,4324.0,3829.0,6486.0,5360.0,29269,20559,0.55,34.97,0
2025-04-28,OST-14,storage-003,100,111.375,89.1,7.8,3912.0,2547.0,5867.0,3566.0,13106,23885,0.59,9.6,0
2025-04-29,OST-14,storage-003,100,112.25,89.8,6.4,3226.0,3510.0,4839.0,4914.0,24054,11287,1.94,47.06,2
2025-04-30,OST-07,storage-002,100,106.625,85.3,6.4,4692.0,2134.0,7038.0,2987.0,18958,29416,2.11,17.98,1
2025-05-01,OST-07,storage-002,100,105.125,84.1,4.1,4146.0,2618.0,6219.0,3665.0,23940,28001,3.97,43.85,1
2025-05-01,OST-14,storage-003,100,112.0,89.6,2.1,2880.0,2422.0,4320.0,3390.0,31752,20289,2.84,36.42,1
2025-05-02,OST-06,storage-002,100,79.8,79.8,5.6,2838.0,2602.0,4256.0,3643.0,33339,16485,4.45,16.05,1
2025-05-02,OST-07,storage-002,100,108.0,86.4,7.7,3590.0,2801.0,5385.0,3921.0,44562,9863,4.89,13.62,0
2025-05-03,OST-07,storage-002,100,111.875,89.5,7.4,4174.0,2518.0,6261.0,3525.0,22465,6344,2.36,37.53,1
2025-05-03,OST-14,storage-003,100,115.875,92.7,2.5,2284.0,2550.0,3426.0,3569.0,18734,9288,4.8,19.97,0
2025-05-04,OST-14,storage-003,100,109.375,87.5,2.9,3914.0,2539.0,5872.0,3555.0,46753,5992,1.0,47.08,0
2025-05-05,OST-14,storage-003,100,109.625,87.7,4.1,2957.0,3083.0,4435.0,4316.0,38631,24277,2.61,18.59,1
2025-05-06,OST-07,storage-002,100,110.625,88.5,3.4,3866.0,1924.0,5799.0,2694.0,7039,15167,2.5,6.97,2
2025-05-07,OST-13,storage-003,100,65.7,65.7,5.9,2366.0,2462.0,3549.0,3447.0,35397,24621,3.08,5.45,0
2025-05-07,OST-14,storage-003,100,110.375,88.3,3.9,4334.0,2120.0,6501.0,2968.0,46035,10426,1.92,36.22,0
2025-05-08,OST-07,storage-002,100,104.875,83.9,2.6,4185.0,2723.0,6278.0,3812.0,23723,21025,0.87,15.96,0
2025-05-08,OST-14,storage-003,100,104.625,83.7,3.4,4027.0,3616.0,6040.0,5063.0,13004,16118,4.78,34.27,1
2025-05-09,OST-14,storage-003,100,115.875,92.7,5.9,2739.0,1817.0,4108.0,2544.0,16213,15911,3.18,7.78,0
2025-05-10,OST-07,storage-002,100,108.625,86.9,4.3,3140.0,2664.0,4710.0,3729.0,20288,8596,1.71,18.61,2
2025-05-10,OST-14,storage-003,100,104.875,83.9,2.4,4645.0,2389.0,6967.0,3344.0,7990,20226,1.96,32.2,1
2025-05-11,OST-14,storage-003,100,112.75,90.2,6.7,3286.0,3081.0,4929.0,4313.0,32755,23647,2.18,8.42,0
2025-05-12,OST-07,storage-002,100,114.5,91.6,7.4,3655.0,3391.0,5483.0,4748.0,49940,22327,3.84,7.35,0
2025-05-12,OST-14,storage-003,100,114.125,91.3,4.8,4799.0,2475.0,7199.0,3465.0,19095,29297,4.64,21.64,0
2025-05-13,OST-00,storage-001,100,80.5,80.5,7.3,2949.0,2100.0,4423.0,2940.0,5858,3163,2.27,8.01,0
2025-05-13,OST-07,storage-002,100,111.375,89.1,4.7,3733.0,3062.0,5600.0,4286.0,27422,29295,1.82,7.79,2
2025-05-14,OST-07,storage-002,100,112.75,90.2,5.6,4027.0,2915.0,6040.0,4080.0,39812,23808,1.2,28.73,0
2025-05-14,OST-14,storage-003,100,106.375,85.1,2.1,3947.0,2470.0,5921.0,3458.0,26446,6357,1.93,35.01,1
2025-05-16,OST-07,storage-002,100,109.625,87.7,6.1,3222.0,2886.0,4833.0,4041.0,36075,28306,2.78,25.79,1
2025-05-16,OST-14,storage-003,100,112.0,89.6,4.3,4529.0,3071.0,6793.0,4300.0,7638,10954,3.53,24.28,1
2025-05-17,OST-07,storage-002,100,116.0,92.8,4.5,3708.0,2460.0,5561.0,3444.0,8173,4119,1.85,25.46,1
2025-05-17,OST-14,storage-003,100,106.5,85.2,5.8,3998.0,3614.0,5997.0,5059.0,42260,4150,1.82,35.88,1
2025-05-18,OST-07,storage-002,100,108.625,86.9,5.4,2837.0,3258.0,4255.0,4562.0,40584,21159,3.58,28.44,0
2025-05-18,OST-10,storage-002,100,68.3,68.3,4.2,3371.0,3150.0,5057.0,4410.0,18845,6563,4.82,27.86,1
2025-05-20,OST-14,storage-003,100,106.125,84.9,4.5,4191.0,2053.0,6286.0,2875.0,24156,28504,4.75,23.59,1
2025-05-21,OST-14,storage-003,100,113.5,90.8,3.4,4643.0,2487.0,6965.0,3482.0,26054,23326,3.19,28.91,2
2025-05-23,OST-07,storage-002,100,110.5,88.4,4.8,4157.0,3494.0,6236.0,4892.0,7355,24297,3.88,5.85,1
2025-05-23,OST-14,storage-003,100,108.5,86.8,3.3,3493.0,2172.0,5239.0,3041.0,8652,28840,1.46,25.41,0
2025-05-23,OST-15,storage-003,100,79.1,79.1,7.9,2479.0,2604.0,3718.0,3646.0,42965,16756,1.88,40.72,0
2025-05-25,OST-14,storage-003,100,112.625,90.1,6.8,3774.0,2714.0,5661.0,3799.0,49441,18950,1.76,39.27,2
2025-05-26,OST-07,storage-002,100,110.0,88.0,6.5,3971.0,2958.0,5956.0,4141.0,11275,9791,4.64,30.02,0
2025-05-26,OST-14,storage-003,100,105.25,84.2,2.1,2001.0,2397.0,3002.0,3355.0,25228,28607,3.93,21.21,1
2025-05-27,OST-14,storage-003,100,109.75,87.8,4.9,3563.0,2799.0,5345.0,3918.0,11298,7452,2.9,33.25,2
2025-05-28,OST-07,storage-002,100,109.0,87.2,5.4,3475.0,2375.0,5212.0,3325.0,38384,4881,4.54,42.99,1
2025-05-28,OST-22,storage-004,100,66.3,66.3,5.9,3065.0,2706.0,4598.0,3788.0,21483,29368,0.84,28.18,0
2025-05-31,OST-07,storage-002,100,110.25,88.2,2.4,3990.0,1795.0,5985.0,2513.0,25522,18726,4.87,31.0,1
2025-06-01,OST-14,storage-003,100,116.375,93.1,3.7,3418.0,3040.0,5127.0,4255.0,23760,24069,1.66,29.8,1
2025-06-02,OST-14,storage-003,100,115.25,92.2,2.5,4450.0,2215.0,6676.0,3101.0,34768,10089,1.96,33.08,1
2025-06-03,OST-02,storage-001,100,69.8,69.8,5.6,2865.0,1189.0,4298.0,1664.0,15465,10977,1.07,38.84,1
2025-06-03,OST-07,storage-002,100,115.625,92.5,2.1,2727.0,2463.0,4090.0,3449.0,29850,10066,0.58,20.67,2
2025-06-04,OST-07,storage-002,100,111.125,88.9,7.8,3407.0,3132.0,5111.0,4385.0,26922,21022,4.19,30.03,1
2025-06-04,OST-14,storage-003,100,114.375,91.5,4.9,2518.0,3186.0,3777.0,4461.0,6755,19021,3.1,16.07,1
2025-06-05,OST-07,storage-002,100,110.625,88.5,6.6,4271.0,2277.0,6406.0,3188.0,45001,12170,4.28,17.09,0
2025-06-05,OST-14,storage-003,100,113.5,90.8,3.7,3596.0,3733.0,5393.0,5226.0,34709,15362,2.04,5.95,1
2025-06-06,OST-14,storage-003,100,104.75,83.8,7.7,3481.0,2712.0,5222.0,3797.0,24252,7178,2.29,15.75,2
2025-06-07,OST-07,storage-002,100,116.875,93.5,4.5,3218.0,1345.0,4827.0,1883.0,44332,23246,1.83,34.62,1
2025-06-07,OST-14,storage-003,100,106.625,85.3,3.8,3252.0,3394.0,4879.0,4751.0,37272,10668,3.16,46.1,2
2025-06-08,OST-12,storage-003,100,78.5,78.5,7.8,2933.0,2167.0,4400.0,3034.0,11144,12479,0.82,23.72,1
2025-06-08,OST-14,storage-003,100,108.375,86.7,2.3,4364.0,3113.0,6545.0,4358.0,29839,29645,2.78,21.3,2
2025-06-09,OST-14,storage-003,100,108.875,87.1,2.7,3642.0,3254.0,5463.0,4555.0,9469,27766,3.7,27.35,0
2025-06-10,OST-07,storage-002,100,115.75,92.6,5.6,4214.0,3240.0,6321.0,4536.0,32270,7808,1.59,28.82,0
2025-06-10,OST-14,storage-003,100,105.125,84.1,5.9,2954.0,2586.0,4431.0,3621.0,10947,24237,3.78,43.16,2
2025-06-11,OST-07,storage-002,100,113.125,90.5,4.0,4382.0,2327.0,6573.0,3258.0,34300,18465,0.51,16.41,0
2025-06-11,OST-14,storage-003,100,109.25,87.4,5.7,2995.0,3375.0,4493.0,4725.0,30113,23553,1.46,6.27,0
2025-06-12,OST-07,storage-002,100,105.625,84.5,7.0,2900.0,2230.0,4351.0,3122.0,36933,28014,1.63,31.69,0
2025-06-12,OST-14,storage-003,100,108.125,86.5,7.2,3427.0,2097.0,5141.0,2936.0,22966,29140,2.93,6.76,0
2025-06-13,OST-22,storage-004,100,78.2,78.2,5.7,2929.0,2131.0,4393.0,2984.0,27427,22582,1.87,8.24,0
2025-06-14,OST-07,storage-002,100,113.75,91.0,4.1,3547.0,2695.0,5320.0,3773.0,46663,16774,4.95,49.76,2
2025-06-16,OST-07,storage-002,100,104.75,83.8,8.0,3694.0,3080.0,5540.0,4312.0,11152,29224,4.81,8.39,2
2025-06-18,OST-07,storage-002,100,114.0,91.2,5.1,2956.0,2065.0,4434.0,2890.0,30462,9305,2.41,20.71,0
2025-06-18,OST-14,storage-003,100,109.375,87.5,6.8,3016.0,1591.0,4524.0,2227.0,46266,6004,4.44,33.67,0
2025-06-19,OST-03,storage-001,100,78.9,78.9,5.2,3221.0,1366.0,4832.0,1912.0,11245,11670,1.79,28.78,0
2025-06-19,OST-07,storage-002,100,115.375,92.3,7.3,3499.0,3219.0,5248.0,4507.0,31702,15343,4.14,46.68,2
2025-06-19,OST-14,storage-003,100,107.875,86.3,5.8,3962.0,2557.0,5942.0,3579.0,19551,12384,2.1,22.15,2
2025-06-20,OST-14,storage-003,100,108.5,86.8,3.3,3602.0,2318.0,5404.0,3245.0,40151,20853,3.12,13.52,0
2025-06-21,OST-07,storage-002,100,116.625,93.3,5.2,3185.0,2294.0,4777.0,3212.0,15982,19050,1.32,44.1,0
